Protein IDs,Norm contorl 1st,Norm Low 1st,Norm control 2nd,Norm Low 2nd,Norm control 3rd,Norm Low 3rd,Norm Low/Cont 1st,Norm Low/Cont 2nd,Norm Low/Cont 3rd
A0A024R1R8,3.342849128,2.867356842,2.539965904,2.241986194,3.312088338,3.177035635,0.857758377,0.882683578,0.959224305
P0DPI2,1.662183792,2.022808153,1.606291614,1.704104299,1.698721426,2.347721676,1.216958174,1.060893479,1.382052196
A0A590UK10,0.140877213,0.171077321,0.020473479,0.025100813,0,0,1.214371844,1.226016003,
A0AV96,0.114691177,0.133021676,0,0,0,0,1.159824841,,
A0AVT1,1.881157077,1.995632481,1.718292644,1.945526622,2.143549012,1.937582677,1.060853719,1.13224405,0.903913401
A0FGR8,1.608537813,1.662568748,1.871079803,1.684676372,2.84618365,3.020941449,1.033590093,0.900376547,1.061400746
A1L0T0,0.645781423,0.621158201,1.302775901,1.071987561,1.672685006,1.462584203,0.961870657,0.82284878,0.874393086
A2RRP1,0.064634247,0.062253316,0.076144295,0.090374889,0,0,0.963163014,1.186889818,
A2RUS2,0.247124635,0.231575542,0.251359002,0.259004853,0.446299884,0.583735271,0.937079956,1.030418052,1.307944035
A3KN83,0.272833782,0.225169848,0.600437454,0.539231768,0.208853158,0.185809064,0.825300469,0.898064844,0.889663659
A4D1P6,0.802313493,0.840229699,0.380552607,0.433018932,0.048333979,0.045570548,1.047258592,1.137868785,0.942826321
A5YKK6,2.166960941,1.983176965,2.147704976,2.124427585,1.615885316,1.599649958,0.915188146,0.989161737,0.989952655
A6NDG6,2.093034768,1.488434164,0.432291164,0.287523067,1.332526153,1.010073875,0.711136856,0.665114375,0.758014297
A6NDU8,0.326595271,0.239307667,0.067729744,0.063517531,0.317977528,0.260842135,0.732734638,0.937808529,0.820316256
A6NHR9,1.687925942,2.84357813,2.453279295,2.530244002,2.180550174,2.164560311,1.684658112,1.031372175,0.992667051
A8MVU1,0.105768882,0.119098997,0.007657049,0.01103684,0.670670283,0.838573784,1.126030598,1.44139595,1.250351782
