Sublist	Category	Term	RT	Genes	Count	%	P-Value	Benjamini	Fisher Exact	-Log
	GOTERM_BP_DIRECT	cytoplasmic translation	RT		72	5.4	5.40E-66	2.40E-62	1.00E-67	67
	GOTERM_BP_DIRECT	translation	RT		102	7.7	1.50E-58	3.30E-55	1.30E-59	58.88605665
	GOTERM_BP_DIRECT	protein folding	RT		62	4.7	1.60E-29	2.30E-26	1.90E-30	29.7212464
	GOTERM_BP_DIRECT	"mRNA splicing, via spliceosome"	RT		65	4.9	1.00E-26	1.20E-23	1.60E-27	26.79588002
	GOTERM_BP_DIRECT	translational initiation	RT		31	2.3	7.30E-22	6.50E-19	4.00E-23	22.39794001
	GOTERM_BP_DIRECT	RNA splicing	RT		53	4	9.30E-18	6.90E-15	1.90E-18	17.7212464
	GOTERM_BP_DIRECT	formation of cytoplasmic translation initiation complex	RT		15	1.1	2.20E-14	1.10E-11	3.10E-16	15.50863831
	GOTERM_BP_DIRECT	protein stabilization	RT		52	3.9	4.00E-15	2.20E-12	9.50E-16	15.02227639
	GOTERM_BP_DIRECT	mRNA processing	RT		52	3.9	4.00E-15	2.20E-12	9.50E-16	15.02227639
	GOTERM_BP_DIRECT	nucleosome assembly	RT		36	2.7	1.30E-13	6.00E-11	2.40E-14	13.61978876
	GOTERM_BP_DIRECT	negative regulation of megakaryocyte differentiation	RT		15	1.1	1.00E-12	4.10E-10	2.90E-14	13.537602
	GOTERM_BP_DIRECT	DNA replication-independent nucleosome assembly	RT		17	1.3	1.10E-12	4.10E-10	5.10E-14	13.29242982
	GOTERM_BP_DIRECT	regulation of translational initiation	RT		18	1.4	1.20E-12	4.20E-10	6.90E-14	13.16115091
	GOTERM_BP_DIRECT	protein localization to CENP-A containing chromatin	RT		14	1.1	3.60E-12	1.10E-09	9.20E-14	13.03621217
	GOTERM_BP_DIRECT	tRNA aminoacylation for protein translation	RT		16	1.2	4.40E-12	1.30E-09	2.00E-13	12.69897
	GOTERM_BP_DIRECT	rRNA processing	RT		35	2.6	5.30E-12	1.50E-09	1.10E-12	11.95860731
	GOTERM_BP_DIRECT	DNA replication-dependent nucleosome assembly	RT		17	1.3	3.70E-11	9.10E-09	2.50E-12	11.60205999
	GOTERM_BP_DIRECT	chaperone-mediated protein folding	RT		19	1.4	3.50E-11	9.10E-09	3.00E-12	11.52287875
	GOTERM_BP_DIRECT	"positive regulation of mRNA splicing, via spliceosome"	RT		15	1.1	1.70E-10	3.80E-08	9.90E-12	11.00436481
	GOTERM_BP_DIRECT	proteasome-mediated ubiquitin-dependent protein catabolic process	RT		44	3.3	4.60E-11	1.10E-08	1.20E-11	10.92081875
	GOTERM_BP_DIRECT	cellular response to interleukin-7	RT		11	0.8	1.50E-09	2.90E-07	3.90E-11	10.40893539
	GOTERM_BP_DIRECT	U2-type prespliceosome assembly	RT		14	1.1	7.10E-10	1.50E-07	4.00E-11	10.39794001
	GOTERM_BP_DIRECT	proteasomal protein catabolic process	RT		16	1.2	1.40E-09	2.80E-07	1.20E-10	9.920818754
	GOTERM_BP_DIRECT	telomere organization	RT		14	1.1	4.70E-09	7.80E-07	3.40E-10	9.468521083
	GOTERM_BP_DIRECT	proteasomal ubiquitin-independent protein catabolic process	RT		13	1	5.80E-09	9.20E-07	3.50E-10	9.455931956
	GOTERM_BP_DIRECT	"regulation of alternative mRNA splicing, via spliceosome"	RT		21	1.6	2.80E-09	5.20E-07	4.10E-10	9.387216143
	GOTERM_BP_DIRECT	positive regulation of translation	RT		24	1.8	3.60E-09	6.40E-07	6.50E-10	9.187086643
	GOTERM_BP_DIRECT	stress granule assembly	RT		13	1	1.10E-08	1.60E-06	7.20E-10	9.142667504
	GOTERM_BP_DIRECT	cellular response to oxidative stress	RT		25	1.9	3.90E-09	6.60E-07	7.30E-10	9.13667714
	GOTERM_BP_DIRECT	cell redox homeostasis	RT		17	1.3	8.00E-09	1.20E-06	9.10E-10	9.040958608
	GOTERM_BP_DIRECT	"negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"	RT		8	0.6	2.00E-07	2.30E-05	3.60E-09	8.443697499
	GOTERM_BP_DIRECT	negative regulation of translation	RT		23	1.7	1.90E-08	2.80E-06	3.70E-09	8.431798276
