Sublist	Category	Term	RT	Genes	Count	%	P-Value	Benjamini	Fisher Exact	-log
	GOTERM_BP_DIRECT	cytoplasmic translation	RT		73	5.6	2.70E-68	1.20E-64	4.70E-70	69.32790214
	GOTERM_BP_DIRECT	translation	RT		103	7.9	2.10E-60	4.60E-57	1.80E-61	60.74472749
	GOTERM_BP_DIRECT	protein folding	RT		61	4.7	5.00E-29	7.30E-26	6.10E-30	29.21467016
	GOTERM_BP_DIRECT	"mRNA splicing, via spliceosome"	RT		65	5	3.90E-27	4.20E-24	5.80E-28	27.23657201
	GOTERM_BP_DIRECT	translational initiation	RT		31	2.4	4.40E-22	3.90E-19	2.30E-23	22.63827216
	GOTERM_BP_DIRECT	RNA splicing	RT		52	4	2.20E-17	1.60E-14	4.50E-18	17.34678749
	GOTERM_BP_DIRECT	formation of cytoplasmic translation initiation complex	RT		15	1.2	1.70E-14	8.30E-12	2.40E-16	15.61978876
	GOTERM_BP_DIRECT	mRNA processing	RT		52	4	2.00E-15	1.20E-12	4.60E-16	15.33724217
	GOTERM_BP_DIRECT	protein stabilization	RT		51	3.9	8.60E-15	4.70E-12	2.00E-15	14.69897
	GOTERM_BP_DIRECT	regulation of translational initiation	RT		19	1.5	5.00E-14	2.20E-11	2.40E-15	14.61978876
	GOTERM_BP_DIRECT	negative regulation of megakaryocyte differentiation	RT		15	1.2	8.00E-13	3.10E-10	2.30E-14	13.63827216
	GOTERM_BP_DIRECT	DNA replication-independent nucleosome assembly	RT		17	1.3	8.40E-13	3.10E-10	3.80E-14	13.4202164
	GOTERM_BP_DIRECT	protein localization to CENP-A containing chromatin	RT		14	1.1	2.90E-12	9.00E-10	7.20E-14	13.1426675
	GOTERM_BP_DIRECT	nucleosome assembly	RT		34	2.6	2.50E-12	8.40E-10	4.60E-13	12.33724217
	GOTERM_BP_DIRECT	rRNA processing	RT		35	2.7	3.20E-12	9.40E-10	6.30E-13	12.20065945
	GOTERM_BP_DIRECT	U2-type prespliceosome assembly	RT		15	1.2	3.10E-11	7.70E-09	1.50E-12	11.82390874
	GOTERM_BP_DIRECT	DNA replication-dependent nucleosome assembly	RT		17	1.3	2.80E-11	7.30E-09	1.90E-12	11.7212464
	GOTERM_BP_DIRECT	chaperone-mediated protein folding	RT		19	1.5	2.60E-11	7.10E-09	2.20E-12	11.65757732
	GOTERM_BP_DIRECT	tRNA aminoacylation for protein translation	RT		15	1.2	6.70E-11	1.50E-08	3.50E-12	11.45593196
	GOTERM_BP_DIRECT	"positive regulation of mRNA splicing, via spliceosome"	RT		15	1.2	1.40E-10	2.80E-08	7.70E-12	11.11350927
	GOTERM_BP_DIRECT	proteasome-mediated ubiquitin-dependent protein catabolic process	RT		43	3.3	9.60E-11	2.10E-08	2.60E-11	10.58502665
	GOTERM_BP_DIRECT	cellular response to interleukin-7	RT		11	0.8	1.30E-09	2.40E-07	3.20E-11	10.49485002
	GOTERM_BP_DIRECT	proteasomal protein catabolic process	RT		16	1.2	1.10E-09	2.20E-07	9.20E-11	10.03621217
	GOTERM_BP_DIRECT	telomere organization	RT		14	1.1	3.80E-09	6.40E-07	2.70E-10	9.568636236
	GOTERM_BP_DIRECT	proteasomal ubiquitin-independent protein catabolic process	RT		13	1	4.70E-09	7.70E-07	2.80E-10	9.552841969
	GOTERM_BP_DIRECT	"regulation of alternative mRNA splicing, via spliceosome"	RT		21	1.6	2.00E-09	3.70E-07	2.90E-10	9.537602002
	GOTERM_BP_DIRECT	positive regulation of cytoplasmic translation	RT		11	0.8	8.90E-09	1.30E-06	3.40E-10	9.468521083
	GOTERM_BP_DIRECT	positive regulation of translation	RT		24	1.8	2.60E-09	4.50E-07	4.50E-10	9.346787486
	GOTERM_BP_DIRECT	stress granule assembly	RT		13	1	8.90E-09	1.30E-06	5.80E-10	9.236572006
	GOTERM_BP_DIRECT	negative regulation of translation	RT		23	1.8	1.40E-08	2.00E-06	2.60E-09	8.585026652
	GOTERM_BP_DIRECT	"negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"	RT		8	0.6	1.80E-07	2.20E-05	3.10E-09	8.508638306
	GOTERM_BP_DIRECT	positive regulation of telomerase RNA localization to Cajal body	RT		10	0.8	8.40E-08	1.10E-05	3.60E-09	8.443697499
	GOTERM_BP_DIRECT	cell redox homeostasis	RT		16	1.2	5.10E-08	7.20E-06	6.30E-09	8.200659451
	GOTERM_BP_DIRECT	tricarboxylic acid cycle	RT		14	1.1	7.50E-08	1.00E-05	7.50E-09	8.124938737
	GOTERM_BP_DIRECT	"DNA-templated transcription, initiation"	RT		15	1.2	9.40E-08	1.20E-05	1.10E-08	7.958607315
	GOTERM_BP_DIRECT	positive regulation of establishment of protein localization to telomere	RT		8	0.6	5.60E-07	6.20E-05	1.50E-08	7.823908741
	GOTERM_BP_DIRECT	substantia nigra development	RT		16	1.2	2.70E-07	3.20E-05	3.90E-08	7.408935393
	GOTERM_BP_DIRECT	CRD-mediated mRNA stabilization	RT		8	0.6	1.50E-06	1.50E-04	5.10E-08	7.292429824
	GOTERM_BP_DIRECT	positive regulation of protein localization to Cajal body	RT		8	0.6	1.50E-06	1.50E-04	5.10E-08	7.292429824
	GOTERM_BP_DIRECT	IRES-dependent viral translational initiation	RT		8	0.6	1.50E-06	1.50E-04	5.10E-08	7.292429824
	GOTERM_BP_DIRECT	cellular response to oxidative stress	RT		22	1.7	3.20E-07	3.60E-05	7.00E-08	7.15490196
	GOTERM_BP_DIRECT	DNA replication	RT		26	2	3.10E-07	3.50E-05	7.90E-08	7.102372909
	GOTERM_BP_DIRECT	purine nucleotide biosynthetic process	RT		9	0.7	1.60E-06	1.60E-04	8.50E-08	7.070581074
	GOTERM_BP_DIRECT	negative regulation of apoptotic process	RT		68	5.2	2.00E-07	2.50E-05	9.50E-08	7.022276395
	GOTERM_BP_DIRECT	ribosomal small subunit biogenesis	RT		10	0.8	2.10E-06	1.90E-04	1.60E-07	6.795880017
	GOTERM_BP_DIRECT	GMP biosynthetic process	RT		7	0.5	6.00E-06	4.50E-04	1.80E-07	6.744727495
	GOTERM_BP_DIRECT	protein refolding	RT		11	0.8	2.10E-06	1.90E-04	2.00E-07	6.698970004
	GOTERM_BP_DIRECT	spliceosomal complex assembly	RT		11	0.8	3.20E-06	2.70E-04	3.20E-07	6.494850022
	GOTERM_BP_DIRECT	response to unfolded protein	RT		16	1.2	1.90E-06	1.80E-04	3.30E-07	6.48148606
	GOTERM_BP_DIRECT	proteolysis involved in cellular protein catabolic process	RT		15	1.2	2.20E-06	2.00E-04	3.70E-07	6.431798276
	GOTERM_BP_DIRECT	glycolytic process	RT		14	1.1	2.60E-06	2.20E-04	3.80E-07	6.420216403
	GOTERM_BP_DIRECT	glutamine metabolic process	RT		10	0.8	5.50E-06	4.20E-04	5.00E-07	6.301029996
	GOTERM_BP_DIRECT	chaperone-mediated protein complex assembly	RT		10	0.8	5.50E-06	4.20E-04	5.00E-07	6.301029996
	GOTERM_BP_DIRECT	ATP synthesis coupled proton transport	RT		11	0.8	4.80E-06	3.80E-04	5.10E-07	6.292429824
	GOTERM_BP_DIRECT	positive regulation of RNA polymerase II transcriptional preinitiation complex assembly	RT		7	0.5	1.40E-05	9.20E-04	5.60E-07	6.251811973
	GOTERM_BP_DIRECT	protein localization to cytoplasmic stress granule	RT		6	0.5	2.40E-05	1.50E-03	5.60E-07	6.251811973
