1AND2AND3	(1AND2)	(1AND3)	(2AND3)	(1AND2)-3	(1AND3)-2	(2AND3)-1	1-(2AND3)	2-(1AND3)	3-(1AND2)
P07384	P07384	P07384	P07384	Q9BVC6	Q9H2W6	A5YKK6	Q9Y2L1	Q008S8	P13807
P25705	P25705	P25705	P25705	Q13242	Q07065	O95793	Q7Z695	O15127	O15347
Q13155	Q13155	Q13155	Q13155	P43307	P60520	O00244	O00148	Q9NNW7	Q04323
Q14914	Q14914	Q12874	Q14914	P36551	Q12874	Q9UKY7	P49448	P22059	Q9NZB2
Q8NBQ5	Q8NBQ5	Q14914	Q8NBQ5	Q13564	P14923	Q9Y2R5	P22061	Q8WUD1	Q9Y2S7
P32119	P32119	Q8NBQ5	P32119	P53992	Q9H2U2	Q86V81	O60936	Q93045	Q9H4A6
Q15907	Q15907	P32119	Q15907	P49257	O95399	P14927	Q13404	P35222	Q9H492
P55060	P55060	Q15907	P55060	Q7LG56	Q16630	Q9Y5K5	Q99523	Q9UBB9	Q04941
P39019	P39019	P55060	P39019	Q96T88	P0DMV8	P62854	O00217	Q96DI7	Q14165
Q9UNM6	Q9UNM6	P39019	Q9UNM6	Q9UNP9	O14964	A0MZ66	P61619	Q96F86	P50402
P48775	P48775	Q9UNM6	P48775	Q3ZCQ8	Q9H8S9	P30520	O43598	P30519	Q7Z7L9
P10809	P10809	P48775	P10809	Q9HC38	P14854	P53675	Q96CN7	Q9GZS3	P16520
Q9UGI8	Q9UGI8	P10809	Q9UGI8	Q6UW68	Q8IUI8	Q92522	Q56VL3	Q14195	P61081
Q07817	Q07817	Q9UGI8	Q07817	P0DPA3	Q9Y696	Q96SB4	P49959	Q9NRX4	Q9NRF8
Q9NR31	Q9NR31	Q07817	Q9NR31	P35249	Q8N0U8	Q9NPD8	P82930	Q96RS6	Q9UHB6
P51149	P51149	Q9NR31	P51149	Q9UMS0	Q16778	Q9Y285	Q9NTJ3	Q9BQL6	Q8N8S7
O95456	P38117	P51149	P38117	P13073	P00403	Q01085	Q14526	P00167	Q9UIG0
O00154	O95456	P38117	O95456	Q9UHD1	P30533	O95319	O00629	Q15942	P30566
Q9UHB9	O00154	O95456	O00154	Q9Y678	P35269	Q14008	Q9UIL1	O60502	Q96CS3
Q03135	Q9UHB9	O00154	Q9UHB9	Q8ND56	P50151	Q9BYD3	P37198	P49459	P31350
P61088	Q03135	Q9UHB9	Q03135	O43837	P61769	Q9NX40	P63151	P46926	Q9NPD3
Q16563	P61088	Q03135	Q9BYD3	P46087	P49207	Q96T37	Q96CW1	Q8N441	P31483
P52272	Q16563	P61088	P61088	P19784	Q14166	Q8N752	Q96DH6	Q7LBC6	O00170
Q13263	P52272	Q16563	Q16563	P61006	O75190	Q52LJ0	Q9NQP4	Q6PI48	O95707
Q99536	Q13263	P52272	P52272	Q71DI3	Q9Y3T9	P13984	P63096	Q8N257	Q9NPQ8
P17980	Q99536	Q13263	Q13263	Q9Y3C8	P20340	Q9BZE4	Q9NT62	O43765	P17693
