100ng	200ng	500ng	1000ng_60min	1000ng_120min
Q04760	P19971	P37108	Q8TAE8	Q8TAE8
P19971	P37108	P19971	P37108	P37108
Q9BRJ2	P28066	P28066	P19971	P19971
P37108	Q9BPZ3	Q9BPZ3	P28066	P28066
P28066	Q9P2E9	Q9P003	Q9BPZ3	Q9BPZ3
Q9NX55	Q15843	P11234	Q9P003	Q9HB40
P32119	Q9HAV4	Q9P2E9	Q9P2E9	P23786
P39019	P39656	Q15843	Q15843	P11234
P56192	P0DPI2	Q9HAV4	Q9HAV4	Q9P003
Q9UHV9	O95399	P39656	P39656	Q9P2E9
Q13310	P08758	P0DPI2	P0DPI2	Q14344
P22626	Q96AC1	O95399	O95399	Q15843
P16422	Q13148	P08758	P08758	Q9HAV4
O43852	Q8N5K1	Q96AC1	Q96AC1	P39656
Q96DB5	Q53GQ0	Q13148	Q13148	P0DPI2
Q15843	P00491	Q8N5K1	Q8N5K1	O95399
Q9HAV4	Q15382	Q53GQ0	Q53GQ0	P08758
P22234	O00743	P00491	P00491	Q6PCB6
P39656	Q15181	Q8IYU8	Q8IYU8	Q96AC1
P34932	Q96GQ7	Q15382	Q15382	Q13148
P68371	Q9Y5K6	Q14451	Q14451	Q15036
P07919	P07108	Q8WXI9	Q8WXI9	Q8N5K1
O43684	P12956	O00743	O00743	Q53GQ0
P13674	Q14008	P78536	Q15181	P00491
P08758	Q9UL25	Q15181	Q8N9N2	Q8IYU8
P46783	P62750	Q96GQ7	Q96GQ7	Q15382
Q13148	O95816	Q9Y5K6	Q9Y5K6	Q14451
Q6AI12	O15067	P07108	P07108	Q8N584
P30101	P23588	P12956	P12956	Q8WXI9
O00232	Q9Y6E2	Q14008	P04920	O00743
Q53GQ0	Q9UNP9	O00178	Q92643	P78536
P00491	Q9P2K5	Q9BXY0	Q14008	Q15181
Q9UHD9	P09661	Q9UL25	Q8N5C6	P82664
P62851	Q05639	P62750	P24928	Q8N9N2
Q13243	Q9Y3I0	O95816	Q9UL25	Q96GQ7
P62258	P18621	O15067	P62750	Q9Y5K6
P04843	P18754	Q9NVE7	O95816	P07108
Q15181	P17096	P23588	O15067	P12956
Q96HE7	P23258	Q9Y508	P23588	P04920
P07108	Q9BXS5	Q9Y6E2	Q9Y508	Q92643
P12956	P31942	Q9UNP9	Q9P289	Q14008
P30837	Q9Y4L1	P09661	Q9Y6E2	O00178
P78406	P28838	P40818	Q9UNP9	Q8N5C6
Q8IYT4	O94915	Q05639	O95295	P24928
Q12931	P06748	Q9Y3I0	Q9P2K5	Q6ICB0
O75643	Q8IY67	P18621	P48729	Q9UL25
P63173	Q99729	P18754	P09661	P62750
Q8WX92	Q9Y6C9	P17096	P40818	O95816
P62873	P18615	P23258	Q05639	O15067
Q9UBT2	P08134	Q9BXS5	Q9BW60	P23588
