1AND2	(1-2)
P19784	P49189
P17931	Q13451
P13674	Q9UIW2
Q12907	P83916
P25788	Q9Y696
P15559	Q9NPJ3
Q96DB5	Q56VL3
Q6DKJ4	Q12874
Q13435	Q15382
Q2NL82	Q9H2W6
Q9BVA1	P45877
P63104	P11279
O95816	P61769
Q08211	P61163
Q99733	Q8WXX5
P62906	P0DMV8
P50579	Q6ZMU5
P78371	P60520
P30050	P20340
P61011	Q14526
Q9C0C9	Q14966
P26641	Q8IVL1
P30043	P10606
O00231	P46459
Q71RC2	P50552
P10620	Q8IY67
P42224	Q96SN8
Q9UBT2	P82930
Q14847	P22061
P51665	O00217
Q96FQ6	P67936
P35241	P50151
P51116	Q9Y639
P62081	Q71UI9
Q9BRJ2	O95399
P40925	Q7KZ85
Q9NRN7	P10515
P02794	Q96CN7
O00151	P30533
Q7Z2W4	Q8IUI8
Q07866	P07858
Q15758	Q96RU3
P27797	Q14166
O75436	Q99523
P04843	Q96DH6
P55036	P63096
A6NHR9	O43598
P09429	P10321
Q12792	P14923
P35659	P36873
Q92616	Q9H8S9
P21980	Q6ZRS2
P34896	P14854
P56537	Q9Y3T9
P25205	P49448
Q04760	P63151
Q9NZM1	P62306
Q9NSD9	P0C860
P30626	P61619
P29373	Q9NQP4
P23284	Q9NZL9
Q12797	Q9H2U2
P51991	O43847
P21333	Q07065
Q15645	P11388
Q14240	P62633
P40939	P29218
Q92734	Q7Z695
P00558	O14964
P35613	Q9BQA1
P23381	Q13404
P39656	Q9NTZ6
P04792	O00629
P54709	P46063
Q8NBJ7	Q9NTJ3
Q5VYK3	Q8N0U8
Q14739	Q86XZ4
P61024	Q15020
Q08J23	O43488
P00441	Q9NUK0
P06730	Q96CW1
P10599	Q7Z589
P23919	O60936
P51398	P47813
P33992	Q16630
Q02543	P09619
Q15637	Q9UBI1
P62256	Q3ZCM7
P02792	Q96PE3
Q9UNL2	Q9HDC9
Q13263	P0DPI2
Q6FI81	Q9UHY7
O14737	Q9UIL1
O75821	P62899
P84085	Q09161
P62826	P50570
Q9Y3C8	Q16778
Q16831	Q7Z4H3
Q8WWM7	O00148
Q96TA1	Q02218
P15311	P37198
P19623	P49207
O43760	Q96BT1
Q13442	P00403
Q58FF6	Q8WYA6
P78347	Q9UDY4
Q10471	P33552
P51571	Q9Y512
Q9H6R4	Q8NE01
P42704	Q9NT62
Q8IVF2	P49959
Q14247	Q9NP72
Q16222	O75190
P05362	P35269
P37837	Q9NRL2
O15260	Q9Y2L1
Q96G03	
P98179	
Q99536	
A0FGR8	
P35237	
O60884	
Q9UK76	
P60510	
P18754	
Q15717	
Q15046	
P51149	
Q9BWD1	
Q01082	
P13010	
P04439	
O60256	
Q9Y230	
P60903	
P12955	
Q7L2H7	
Q9Y3D6	
P46013	
P49458	
P49755	
P05387	
P46778	
Q53H82	
P25685	
Q9H0D6	
P21796	
Q9BZZ5	
Q9P1F3	
P30419	
P26368	
Q15366	
Q9Y320	
O43242	
P08134	
Q12906	
P62805	
P27695	
P61457	
O00159	
O14818	
P49721	
Q9H9B4	
O95881	
P02545	
P60228	
P13798	
P68402	
P40616	
O60664	
Q01081	
Q92945	
P31943	
P53999	
Q13501	
P00492	
P62277	
Q15056	
P14618	
Q15427	
Q9H074	
O75608	
Q92900	
P26038	
P68371	
P55327	
Q6PIU2	
P05455	
P00505	
O43837	
Q9Y5B9	
P62750	
P84098	
P04080	
Q15370	
Q9BQG0	
P45880	
P05386	
P17858	
Q9H299	
P00390	
P26196	
P26885	
P20073	
P67870	
P07919	
P04040	
Q9Y277	
P22314	
P11908	
P62280	
O75915	
Q15907	
P10155	
P09960	
Q9BRA2	
Q9Y3A5	
P37235	
Q15233	
P23368	
Q53GQ0	
Q07021	
O43708	
