1AND2AND3	(1AND2)	(1AND3)	(2AND3)	(1AND2)-3	(1AND3)-2	(2AND3)-1	1-(2AND3)	2-(1AND3)	3-(1AND2)
P37837	P37837	P37837	P37837	O43708	O75190	Q08257	Q9UIL1	Q008S8	Q8IZY5
Q9BTT0	Q9BTT0	Q9BTT0	Q9BTT0	P43307	Q16778	Q9Y2R5	P49189	Q7L576	Q9NPQ8
O75937	P0DP25	P0DP25	P0DP25	Q9Y3C8	P11279	A0MZ66	Q99523	Q8NI27	Q9NRF8
P0DP25	Q16719	Q16719	Q16719	Q71DI3	Q8IUI8	O95202	P10606	P56385	P17706
Q16719	O75937	O75937	O75937	Q3ZCQ8	Q9H8S9	P17812	P10515	O95299	Q92542
P35244	P35244	P35244	O95202	P0DPA3	P61163	Q9Y5K5	Q96SN8	Q96RS6	Q15836
Q5VYK3	Q5VYK3	Q5VYK3	P35244	Q13242	Q9UIW2	Q99615	Q9NZL9	Q9NRX4	Q14165
Q969H8	Q969H8	Q14166	Q5VYK3	Q7LG56	Q14166	Q00796	P82930	Q02880	Q86UP2
P18077	P18077	Q969H8	Q969H8	Q49AR2	P0DMV8	P80723	P37198	A6NHQ2	Q01650
Q13501	Q13501	P18077	Q96T37	Q9BVC6	Q9Y3T9	P62266	Q96PE3	P30519	P17693
Q13162	Q13162	Q13501	P18077	P36551	Q8N0U8	P30876	Q14966	Q969Z0	P16520
P62280	O75643	Q13162	Q13501	P13073	P50570	Q7L5N1	Q96DH6	Q96DI7	Q96P70
O75643	P62280	O75643	Q13162	Q99878	P50151	P04637	Q9UBI1	Q9NZL4	Q9H492
Q12849	Q12849	P62280	O75643	Q8WVY7	Q9H2U2	Q96T37	P63096	O75607	Q17RS7
P37108	P37108	Q12849	P62280	P53992	P50552	P78346	Q86XZ4	P46926	P61081
Q9H223	Q9H223	P37108	Q12849	P19784	Q16630	Q8TCS8	P47813	Q9NUU7	O15173
P14866	P14866	Q9H223	P37108	P24539	P30533	P00367	P22061	O95789	Q04941
P35998	P35998	P14866	Q9H223	Q6EEV6	P00403	Q12996	Q7Z695	O15079	Q9H4A6
O95292	O95292	P35998	O75489	Q96T88	O43847	Q13427	P0DPI2	Q13740	Q04323
P60953	P60953	O95292	P14866	Q6DKJ4	P62633	O95831	Q15382	P49459	O00170
O15144	O15144	P60953	P35998	Q8ND56	P36873	O75489	Q56VL3	Q99417	P57679
P23284	P23284	O15144	O95292	P61006	Q8IVL1	O43237	Q9UDY4	Q9GZS3	Q9C037
P99999	P99999	P23284	Q9NQW7	Q96HS1	P14923	Q92530	P29218	Q15761	Q6RI45
P41091	P41091	P99999	P60953	Q9Y678	P07858	Q86V81	P49448	P13473	P40222
Q01813	Q01813	P41091	O15144	P46087	Q15020	P13984	O43488	Q6PI48	Q16698
P62308	P62308	Q01813	P23284	Q6UW68	Q07065	Q9NQW7	P62899	Q9UBB9	Q7L4P6
P25787	P25787	P62308	P99999	Q13564	O14964	Q9NX40	Q7Z589	P16104	Q8WXX0
P84090	P84090	P25787	P41091	O43837	Q13451	P30520	Q96BT1	O60502	Q9UHB6
P78527	P78527	P84090	Q01813	Q9UMS0	Q12874	P14927	Q6ZRS2	Q9UHL4	P00846
P54709	P54709	P78527	P62308	P35249	Q8WYA6	Q8N752	Q9NQP4	Q7LBC6	Q96R05
P84077	P84077	P54709	P25787	Q9HC38	P0C860	P41227	Q9Y639	Q13131	Q96CS3
P19338	P19338	P84077	P84090	Q9UNP9	P20340	O75351	P45877	Q14254	Q9NPD3
P46109	P46109	P19338	P78527	Q9UHD1	Q09161	O75533	P63151	Q93045	P09758
Q7L2E3	Q7L2E3	P46109	P54709	P49257	Q9NP72	P07737	P49959	P00167	P50402
P48556	P48556	Q7L2E3	P84077		Q9H2W6	Q9P258	Q9NTZ6	Q86VX9	Q8N8S7
P40616	P40616	P48556	P19338		Q6ZMU5	Q14694	Q9NTJ3	P69849	O75976
P54819	P54819	P40616	P46109		O95399	Q8TF65	P61619	Q9BSH4	O15347
Q9H910	Q9H910	P54819	Q7L2E3		P46459	Q13547	O00217	Q8N257	Q92888
P78310	P78310	Q9H910	P48556		Q9UHY7	P53675	Q14526	Q15024	P31483
O43795	O43795	P78310	P40616		Q8NE01	Q9Y285	O60936	P82932	Q96M29
P04843	P04843	O43795	P54819		P60520	Q14008	P09619	Q99614	Q9Y2S7
P12956	P12956	P04843	Q9H910		Q9NUK0	Q96KP4	Q9NRL2	P00918	Q7Z7L9
P61026	P61026	P12956	P78310		P83916	P04183	Q71UI9	Q14195	Q9NZB2
P13797	P13797	P61026	O43795		P61769	Q52LJ0	Q8IY67	P35222	O75400
Q9UMS4	Q9UMS4	P13797	P04843		P35269	Q9Y221	O00148	Q6IBS0	Q9NR12
P35232	P35232	Q9UMS4	P12956		Q8WXX5	Q96SB4	Q9NT62	O43464	P13807
O15427	O15427	P35232	P61026		Q9Y696	P11488	P67936	Q9P107	P13987
O95470	O95470	O15427	P13797		Q02218	O95319	Q9BQA1	O15127	Q16666
Q9H3U1	Q9H3U1	O95470	Q9UMS4		P10321	Q9BZE4	P62306	O15042	P61326
Q96KA5	Q96KA5	Q9H3U1	P35232		P49207	O00244	Q9Y512	P20645	Q92922
P49588	P49588	Q96KA5	O15427		P33552	Q86U42	P46063	Q9BQL6	P18859
P06753	P06753	P49588	O95470		P14854	Q9BYD3	Q96CW1	P52948	P62993
Q9Y3D9	Q9Y3D9	P06753	Q9H3U1		Q3ZCM7	O95793	Q7Z4H3	A0AVT1	O95707
P57088	P57088	Q9Y3D9	Q96KA5		P11388	Q01085	Q96RU3	Q9Y4E8	Q93052
Q9NY12	Q9NY12	P57088	P49588		Q9NPJ3	O95197	O43598	Q01970	P31350
Q01469	Q01469	Q9NY12	P06753			P46060	Q96CN7	O75306	Q92526
P00568	P00568	Q01469	Q9Y3D9			Q9BVK6	Q9HDC9	P62136	P30566
Q96G23	Q96G23	P00568	P57088			O60678	Q13404	Q01130	Q969Q0
Q8TDN6	Q8TDN6	P35269	Q9NY12			P60891	O00629	Q9UM00	Q16518
P18754	P18754	Q8TDN6	Q01469			A5YKK6	Q9Y2L1	P98175	Q9UIG0
Q99426	Q99426	Q96G23	P00568			Q8N3R9	Q7KZ85	O43765	P49419
Q9BXP5	Q9BXP5	P18754	Q96G23			Q9UKY7		Q9NR56	Q63HN8
Q16555	Q16555	Q99426	Q8TDN6			Q92522		P17066	Q9Y6C9
Q14019	Q14019	Q9BXP5	P18754			P09669		P52789	O95817
P09211	P09211	Q16555	Q99426			P07711		Q96F86	Q9UBB4
P04792	P04792	Q14019	Q9BXP5			Q9NPD8		P37287	
Q7L1Q6	Q7L1Q6	P09211	Q16555			O60762		O75396	
P62424	P62424	P04792	Q9UKY7			Q9BQ52		Q9Y3A6	
P12268	Q03169	Q7L1Q6	Q14019			P49321		Q7Z2K6	
Q03169	P12268	P62424	P09211			Q96S55		P22059	
P49589	P49589	Q03169	P04792			Q9Y6H1		Q9Y3D0	
Q00839	Q00839	P12268	Q7L1Q6			Q5SRE5		Q9BW27	
P01116	P01116	P49589	P62424			Q15819		Q9NNW7	
O00299	O00299	Q00839	Q03169			P62854		P32314	
Q9H074	Q9H074	P01116	P12268					P0DMV9	
Q96RP9	Q96RP9	O00299	P49589					Q9UBS4	
P43487	P43487	Q9H074	Q00839					P35658	
Q15758	Q15758	Q96RP9	P01116					Q9UQ16	
Q13151	Q13151	P43487	A5YKK6					P24001	
Q15843	Q15843	Q15758	O00299					Q9UGV2	
O43242	O43242	Q13151	Q9H074					P53582	
P18085	P18085	Q15843	Q96RP9					Q15942	
P46782	P46782	O43242	P43487					Q9NRW1	
Q9H4M9	Q9H4M9	P18085	Q15758					Q92890	
Q13243	Q13243	Q9UIW2	Q13151					Q15424	
P50991	P50991	P46782	Q15843					Q8WUD1	
P42285	P42285	Q9H4M9	O43242					Q9GZZ1	
P49721	P49721	Q13243	P18085					Q9UL18	
Q9UHD9	Q9UHD9	P50991	P46782					Q8TEW0	
O43252	Q13242	P42285	Q9H4M9					Q6NZY7	
P50990	O43252	P49721	Q13243					Q8N441	
P21980	P50990	Q9UHD9	P50991					P16083	
Q9Y5B9	P21980	O43252	P42285					Q8TC12	
P16422	Q9Y5B9	P50990	P49721					Q6XQN6	
P12429	P16422	P21980	Q9UHD9					Q15833	
P09651	P12429	Q9Y5B9	O43252					Q14956	
Q9Y265	P09651	P16422	P50990					O60763	
Q9HB71	Q9Y265	P12429	P21980					Q9BRG1	
P67870	Q9HB71	P09651	Q9Y5B9					P54652	
Q13838	P67870	Q9Y265	P13984					Q13618	
Q9UNN8	Q13838	Q9HB71	P12429					P51572	
Q15056	Q9UNN8	P67870	P09651					Q9UJU6	
Q5JTV8	Q15056	Q13838	P16422					Q9BUL8	
Q13200	Q5JTV8	Q9UNN8	Q9Y265					Q9H0R8	
P13489	Q13200	Q15056	Q9HB71					P52655	
P30048	P13489	Q5JTV8	P67870					O94826	
P49591	P30048	Q13200	Q13838					Q9Y2R4	
P67775	P53992	P13489	Q9UNN8					Q2TAA2	
P30419	P49591	P30048	Q15056						
Q96IX5	P67775	P49591	Q5JTV8						
Q9UNL2	P30419	P67775	Q13200						
Q16831	Q96IX5	P30419	P13489						
P30837	Q9UNL2	Q12874	P30048						
P31689	Q16831	Q96IX5	P49591						
Q7KZF4	P30837	Q9UNL2	P67775						
Q00610	P31689	Q16831	P30419						
Q00653	Q7KZF4	P30837	Q96IX5						
P14550	Q00610	P31689	Q9UNL2						
Q15365	Q00653	Q7KZF4	Q16831						
O95433	P14550	Q00610	P30837						
P63244	Q15365	Q00653	P31689						
O60256	O95433	P14550	Q7KZF4						
O95104	P63244	Q15365	Q00610						
O00469	O60256	O95433	Q00653						
P67809	O95104	P63244	P14550						
P38646	O00469	O60256	Q15365						
P98179	P67809	O95104	O95433						
Q9P2J5	P38646	O00469	P63244						
P52209	P98179	P67809	O60256						
Q99986	Q9P2J5	P38646	O95104						
Q9ULV4	P52209	P98179	O00469						
Q14839	Q99986	Q9P2J5	P67809						
P35659	Q9ULV4	P52209	P38646						
Q9Y3F4	Q14839	Q99986	P98179						
Q12797	P35659	Q9ULV4	Q9P2J5						
Q9Y2B0	Q9Y3F4	Q14839	P52209						
P00387	Q12797	P35659	Q99986						
Q5JRX3	Q9Y2B0	Q9Y3F4	Q9ULV4						
Q99598	P00387	Q12797	Q14839						
Q9Y3A5	Q5JRX3	Q9Y2B0	P35659						
P46778	Q99598	P33552	Q9Y3F4						
P61289	Q9Y3A5	Q5JRX3	Q12797						
P50213	P46778	P00387	Q9Y2B0						
O15355	P61289	Q99598	P00387						
P54687	P50213	Q9Y3A5	Q5JRX3						
P62140	O15355	O75190	Q99598						
P55036	P54687	P46778	Q9Y3A5						
G2XKQ0	P62140	P61289	P46778						
P18124	P55036	P50213	P61289						
Q01105	G2XKQ0	O15355	P50213						
Q9NQC3	P18124	P54687	O15355						
P09661	Q01105	P62140	P80723						
P09493	Q9NQC3	P55036	P54687						
O75964	P09661	G2XKQ0	P62140						
P08238	P09493	P18124	G2XKQ0						
O75915	O75964	Q01105	P55036						
Q13263	P08238	Q9NQC3	P18124						
P61758	O75915	P09661	Q01105						
P62304	Q13263	P09493	Q9NQC3						
Q99536	P61758	O75964	P09661						
O95816	P62304	P08238	P09493						
Q96IU4	Q99536	O75915	O75964						
O75822	O95816	Q13263	P08238						
Q53GQ0	P13073	P61758	O75915						
O00505	Q96IU4	P62304	Q13263						
O75947	O75822	Q99536	P61758						
A0FGR8	Q53GQ0	P36873	P62304						
O95777	O00505	P07858	Q99536						
P02545	O75947	O95816	O95816						
P48454	A0FGR8	Q96IU4	Q8TF65						
P61803	O95777	O75822	O75822						
P49915	P02545	Q53GQ0	Q96IU4						
P49411	P48454	O00505	Q53GQ0						
P31939	P61803	O75947	O00505						
P51571	P49915	A0FGR8	O75947						
Q16851	P49411	O95777	A0FGR8						
Q15293	P31939	P02545	P04183						
Q15084	P51571	P48454	O95777						
P62258	Q16851	P61803	P02545						
P62750	Q15293	P49915	P48454						
P78371	Q15084	P49411	P61803						
Q9Y490	P62258	P31939	P49915						
Q92499	Q6UW68	P51571	P49411						
O43776	P62750	Q16851	P31939						
Q96TA1	P78371	Q15293	P51571						
P05362	Q9Y490	Q15084	Q16851						
Q9NSE4	Q92499	P62258	Q15293						
Q12765	O43776	P62750	Q15084						
P24941	Q96TA1	P78371	P62258						
P22392	P05362	Q9Y490	P62750						
Q9HAV4	Q9NSE4	Q92499	P78371						
Q92945	Q12765	O43776	Q9Y490						
P49368	P24941	Q8NE01	Q92499						
O95456	P22392	Q96TA1	O43776						
