Protein IDs,Protein names,Gene Names,LNCaP/RWPE-1 normalized median-scaling 1st,LNCaP/RWPE-1 normalized median-scaling 2nd,LNCaP/RWPE-1 normalized median-scaling 3rd,Best MS/MS
A0A0B4J2E5,Utp12 domain-containing protein,,0.906853767,0.741758627,0.927149901,6613
A0AV96,RNA-binding protein 47 (RNA-binding motif protein 47),RBM47,3.175086164,3.410803077,2.991814596,64206
A0AVT1,Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2),UBA6 MOP4 UBE1L2,0.784638109,0.806569087,0.636351085,4788
A0MZ66,Shootin-1 (Shootin1),SHTN1 KIAA1598,1.227474151,1.291406961,1.353254438,31204
A1L0T0,2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein),ILVBL AHAS HACL2,1.304086657,1.268296099,1.284220907,4071
A1L3X0,Elongation of very long chain fatty acids protein 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7),ELOVL7,2.950664697,3.29414825,1.677416174,10862
A4D1E9,GTP-binding protein 10 (Protein obg homolog 2) (ObgH2),GTPBP10 OBGH2 UG0751c10,1.323387494,1.488699689,1.804635108,44480
A5YKK6,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1),CNOT1 CDC39 KIAA1007 NOT1 AD-005,0.871462334,0.820355567,0.806065089,32769
A6NDG6,Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP),PGP,1.211422944,1.27700019,1.411932939,99365
A6NHR9,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-),SMCHD1 KIAA0650,1.126735598,1.347433294,1.304043393,429
A8MXV4,Acyl-coenzyme A diphosphatase NUDT19 (EC 3.6.1.-) (Nucleoside diphosphate-linked moiety X motif 19) (Nudix motif 19),NUDT19,4.191629739,3.395996118,3.961439842,66598
E9PAV3,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)",NACA,0.862058099,0.861855072,0.731252465,47250
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)",AGPS AAG5,0.594495323,0.672315989,0.663708087,3192
O00159,Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb),MYO1C,0.718591827,0.707252409,0.693422091,38229
O00193,Small acidic protein,SMAP C11orf58,1.478483506,1.390653607,1.475147929,161389
O00203,AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain),AP3B1 ADTB3A,0.464982767,0.480795974,0.50321499,28225
