Peptide IDs,Mol. weight [kDa],Evidence IDs,Protein names,Gene names,Sequence coverage [%],Q-value,Reporter intensity 3,Reporter intensity 6,Reporter intensity 8,Score,Sequence length,Reporter intensity 4,Best MS/MS,Razor + unique peptides,Reporter intensity 5,Reporter intensity 9,Reporter intensity 1,Protein IDs,Intensity,Reporter intensity 0,Reporter intensity 7,Reporter intensity 2
1438;1745;3161;3662;3965;4557;4762;5324;5449;5573;6164;7904;8183;8710;9052;9476;11182;11657;12599;13058;13283;13752;14545;14557;14821;16852,387.51,6903;7648;14605;16723;16724;18291;21448;21449;22123;24892;24893;25518;25902;28980;28981;36742;36743;37803;39317;39318;40884;42613;42614;50628;52588;56478;56479;58786;58787;60136;62279;65912;65937;68291;68292;76922,deleted,,8.6,0.0,40081.0,50875.0,44708.0,132.67,,47218.0,9494,26,42972.0,49877.0,44791.0,A0A075B6H2,654900000,45200.0,47732.0,50127.0
5087;11346;13402;13403;14690,16.037,23585;23586;23587;23588;23589;51196;51197;60664;60665;60666;60667;66933;66934;66935,Immunoglobulin lambda variable 6-57 (Ig lambda chain V-VI region AR) (Ig lambda chain V-VI region EB4) (Ig lambda chain V-VI region NIG-48) (Ig lambda chain V-VI region SUT) (Ig lambda chain V-VI region WLT),IGLV6-57,44.6,0.0,14239.0,18260.0,15881.0,134.51,117,16779.0,32671,5,14673.0,18192.0,15667.0,A0A075B6I2,5624600000,16199.0,17456.0,18700.0
228;1497;2056;2621;3731;5036;13804;14225;16484,85.022,902;7064;8575;11221;16960;23346;23347;62574;62575;62576;62577;64045;64046;75287;75288;75289,Protein tyrosine phosphatase receptor type C,PTPRC,13.3,0.0,15576.0,20211.0,17157.0,48.207,753,18543.0,1246,9,14874.0,19521.0,17052.0,A0A075B788,493520000,17871.0,19679.0,20145.0
2592;3673;12119,14.651,11153;16762;16763;16764;54717,ADAM metallopeptidase domain 9,ADAM9,25.8,0.0,3143.3,3885.1,3727.0,7.952,128,3348.2,14962,3,2893.5,3345.2,3367.4,C9J6H5,95148000,3090.8,4106.0,3676.4
75;1184;12010;14609;15224;15891;16420,11.303,344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359;360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;376;377;378;379;380;381;382;383;384;385;386;387;388;389;390;391;392;393;394;395;396;397;398;399;400;401;402;403;404;405;406;407;408;409;410;411;412;413;414;415;416;417;418;5926;5927;5928;54249;54250;54251;54252;54253;54254;54255;54256;54257;54258;54259;54260;54261;54262;54263;54264;66668;69664;72315;72316;74922;74923;74924;74925;74926;74927;74928;74929;74930;74931;74932;74933;74934;74935;74936;74937;74938;74939;74940;74941;74942;74943;74944;74945;74946;74947;74948;74949;74950;74951;74952;74953;74954;74955;74956;74957;74958;74959;74960;74961;74962;74963;74964;74965;74966;74967;74968;74969;74970;74971;74972;74973;74974;74975;74976;74977;74978;74979;74980;74981;74982;74983;74984;74985;74986;74987;74988;74989;74990;74991;74992;74993;74994;74995;74996;74997;74998;74999;75000;75001;75002;75003;75004;75005;75006;75007;75008;75009;75010;75011;75012;75013;75014;75015;75016;75017;75018;75019;75020;75021;75022;75023;75024;75025;75026,Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region),IGLC7,82.1,0.0,4883.1,6367.7,5321.1,16.045,106,6374.9,494,4,5439.2,5707.7,5542.6,A0M8Q6,1115000000,6309.2,5666.9,7308.1
533;2034;3858;3859;3860;4741;5994;6121;6321;8584;8910;8911;8912;11453;11816;13217;16260;16263;16264,165.74,2513;8507;8508;17847;17848;17849;17850;17851;17852;17853;17854;22048;28332;28786;28787;29779;38917;38918;38919;40138;40139;40140;40141;40142;40143;51657;51658;51659;51660;53513;59994;59995;74092;74093;74096;74097;74098,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D),SSC5D,20.9,0.0,22356.0,28590.0,24936.0,185.49,1573,26439.0,3570,19,29757.0,27283.0,24411.0,A1L4H1,1406400000,24694.0,27376.0,27534.0
6917;12475;16703,25.961,32472;55973;76369,"Major histocompatibility complex, class II, DQ beta 1",HLA-DQB1,13.4,0.0023838,1990.5,3080.7,2737.4,1.8557,224,2816.1,44488,3,2401.3,2976.9,2436.4,A2AAZ0,42540000,2706.5,3007.0,2942.6
2310;15305;15739,20.96,9412;69853;71620,Proteasome subunit beta,PSMB9 hCG_17510,20.4,0.0,1495.3,1753.6,1705.2,3.5175,196,1829.4,12600,3,1866.9,2006.1,1658.5,A2ACR1,47211000,1795.2,1961.4,1843.6
176;6546,14.604,770;30805;30806;30807,Fucose mutarotase (EC 5.1.3.29),FUOM C10orf125,23.1,0.0,335.94,281.94,257.6,8.7004,154,243.65,1084,2,227.02,221.52,61.666,A2VDF0-2,12749000,212.57,119.85,323.79
772;1068;2662;4957;5559;5630;5631;7267;13099;13100;14791;14822,37.482,3272;3273;3274;5214;11829;11830;11831;11832;11833;11834;11835;22819;22820;22821;22822;22823;22824;22825;25868;25869;25870;26119;26120;26121;26122;26123;26124;26125;26126;26127;34548;34549;34550;34551;34552;34553;34554;34555;34556;34557;59566;59567;59568;68168;68169;68170;68293,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6),BST1,42.3,0.0,47752.0,59192.0,53034.0,267.54,333,55005.0,4561,12,44107.0,58468.0,52915.0,A6NC48,7384600000,52858.0,56700.0,58350.0
