Gene names,Reporter intensity 3 set1,Reporter intensity 2 set1,Reporter intensity 2 ,Protein names,Reporter intensity 1 set1,Intensity,Reporter intensity 1 set2,Reporter intensity 3 set2,Reporter intensity 4 set3,Reporter intensity 1 ,Reporter intensity 4 ,Reporter intensity 2 set3,Reporter intensity 2 set2,Reporter intensity 3 set3,Best MS/MS,Reporter intensity 3 ,Sequence coverage [%],Reporter intensity 1 set3,Evidence IDs,Reporter intensity 4 set2,Q-value,Mol. weight [kDa],Peptide IDs,Protein IDs,Razor + unique peptides,Score,Reporter intensity 4 set1,Sequence length
NUDT4B,5442.7,4927.6,0.0,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B (DIPP-2B) (EC 3.6.1.52) (Nucleoside diphosphate-linked moiety X motif 4B) (Nudix motif 4B) (Nudix hydrolase 4B),4906.6,19517000.0,0.0,0.0,8509.5,0.0,0.0,10369.0,0.0,9954.8,30008,0.0,34.3,9904.4,28868;28869;82453;82454;82455;100537;100538;108159,0.0,0.0,20.434,8256;23923;28967;31123,A0A024RBG1,4,13.61,4289.1,181
GATD3 C21orf33 GATD3A,0.0,0.0,5591.9,"Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial",0.0,111870000.0,1227.1,1588.2,12550.0,5022.7,6217.0,14687.0,1512.4,17509.0,22372,6880.2,54.9,15018.0,21515;21516;21517;21518;21519;28815;36052;36053;36054;36055;36056;36057;41340;41341;41342;41343;41344;41345;41346;51186;51187;51188;51189;51190;51191;57147;73720;73721;73722;104257;104258;104259,1457.9,0.0,28.17,6070;8236;10332;11806;11807;14467;16243;21194;29990,P0DPI2,9,131.49,0.0,268
ZC3H11C,0.0,0.0,0.0,Zinc finger CCCH domain-containing protein 11C,0.0,2863700.0,0.0,0.0,2618.2,0.0,0.0,2336.1,0.0,2726.7,102779,0.0,3.6,2326.2,98228;102269,0.0,0.0,88.934,28377;29425,P0DQW0,2,15.433,0.0,805
UBA6 MOP4 UBE1L2,7729.5,6986.3,17591.0,Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2),7840.4,49004000.0,9788.8,8452.7,0.0,17082.0,16261.0,0.0,8262.2,0.0,6279,18871.0,18.6,0.0,6026;14081;33469;45241;45242;50408;55802;55803;55804;56028;56029;56030;60028;72403;96287;96288;96289;104142;106674;109082;109163,6667.4,0.0,117.97,1711;4026;9604;12906;14246;15817;15887;17141;20792;27875;29957;30709;31386;31414,A0AVT1,14,70.517,7646.0,1052
ESYT2 FAM62B KIAA1228,0.0,0.0,0.0,Extended synaptotagmin-2 (E-Syt2) (Chr2Syt),0.0,2892300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272,0.0,3.8,0.0,1225;25997,0.0,0.0,102.36,359;7407,A0FGR8,2,8.8659,0.0,921
SHTN1 KIAA1598,21737.0,19136.0,15210.0,Shootin-1 (Shootin1),14831.0,43485000.0,0.0,0.0,12108.0,20786.0,16470.0,12762.0,0.0,14252.0,9480,16881.0,21.4,13159.0,9096;9097;9098;9099;26033;26619;26620;34327;57248;67600;68021;83540;91668;99672;99673;102857,0.0,0.0,71.639,2589;7422;7611;9856;16281;19429;19549;24227;26575;28719;29620,A0MZ66,11,45.537,17686.0,631
ILVBL AHAS HACL2,5573.2,4944.6,17416.0,2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein),6638.9,93068000.0,0.0,0.0,5900.9,17989.0,14475.0,6838.4,0.0,6864.8,690,18705.0,32.6,7646.6,669;12719;12720;25547;25548;26497;26498;26499;26500;26501;26502;33963;33964;66527;66528;66529;66530;66531;66532;66533;67960;71836;71837;71838;71839;80390;80391;100245;104989,0.0,0.0,67.867,207;3629;7250;7558;9757;19109;19532;20620;23298;28878;30229,A1L0T0,11,97.159,4142.5,632
VWA8 KIAA0564,0.0,0.0,0.0,von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2),0.0,20028000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13320,0.0,6.5,0.0,12812;15040;17717;17718;17719;24029;31136;46782;46783;46784;79575;84248;106681;106682,0.0,0.0,214.82,3657;4302;5042;6793;8921;13290;22982;24430;30712,A3KMH1,9,25.664,4088.2,1905
SBNO1 MOP3,0.0,0.0,0.0,Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3),0.0,3620200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54207,0.0,4.8,0.0,51919;82279;91669,0.0,0.0,154.31,14645;23873;26576,A3KN83,3,10.728,0.0,1393
GTPBP10 OBGH2 UG0751c10,0.0,0.0,1143.9,GTP-binding protein 10 (Protein obg homolog 2) (ObgH2),0.0,3185200.0,0.0,0.0,0.0,1024.5,1153.4,0.0,0.0,0.0,12744,1233.5,5.9,0.0,12248;61795;61796,0.0,0.0,42.932,3487;17634,A4D1E9,2,6.6176,0.0,387
