Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A5A607;Q2EES0	A5A607;Q2EES0	2;2	2;2	2;2	Uncharacterized protein YlcI;Uncharacterized protein YnfO from qin prophage	ylcI;ynfO	sp|A5A607|YLCI_ECOLI Uncharacterized protein YlcI OS=Escherichia coli (strain K12) OX=83333 GN=ylcI PE=4 SV=1;sp|Q2EES0|YNFO_ECOLI Uncharacterized protein YnfO OS=Escherichia coli (strain K12) OX=83333 GN=ynfO PE=4 SV=1	2	2	2	2	46.9	46.9	46.9	7.5204	64	64;77	0.0	6.0535	1897700	1	0	4227;5389	True;True	4638;5917	6345;8043	8465;10701	8465;10701		
P00350	P00350	36	36	36	6-phosphogluconate dehydrogenase, decarboxylating	gnd	sp|P00350|6PGD_ECOLI 6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) OX=83333 GN=gnd PE=1 SV=2	1	36	36	36	80.3	80.3	80.3	51.481	468	468	0.0	323.31	964830000	83	22	142;169;458;459;1915;2602;2644;2645;2784;2929;2930;3030;3199;3200;3351;3352;4598;5307;5661;5988;6130;6845;6990;7124;7322;9211;9632;9957;10640;10868;11175;12406;12407;13896;13897;14586	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	159;188;504;505;2136;2885;2931;2932;3083;3240;3241;3345;3526;3527;3687;3688;5047;5827;5828;6208;6564;6713;7498;7657;7798;8004;10031;10634;10635;10636;10997;11750;11990;11991;12322;13660;13661;15280;15281;16044	250;299;300;726;727;728;729;3033;3034;4021;4022;4077;4078;4281;4282;4493;4494;4495;4625;4871;4872;4873;4874;5073;5074;5075;6893;6894;7933;7934;8440;8956;8957;9159;9160;10246;10247;10467;10468;10658;10659;10660;10947;13649;14600;14601;14602;14603;15136;16132;16427;16428;16868;18652;18653;18654;20938;20939;20940;21965;21966	324;325;409;410;411;947;948;949;950;4016;4017;5305;5306;5385;5386;5657;5658;5659;5931;5932;5933;5934;5935;6099;6432;6433;6434;6435;6436;6702;6703;6704;9216;9217;10569;10570;10571;10572;10573;11218;11219;12033;12034;12035;12036;12037;12038;12319;12320;12321;13851;13852;14147;14148;14149;14150;14390;14391;14392;14784;18427;18428;19688;19689;19690;19691;20445;20446;21730;21731;21732;22114;22115;22663;25070;25071;25072;28272;28273;28274;28275;28276;28277;29673;29674	324;411;948;949;4017;5305;5385;5386;5657;5931;5935;6099;6433;6434;6702;6704;9216;10570;11219;12034;12321;13852;14148;14390;14784;18427;19689;20446;21732;22115;22663;25070;25071;28273;28274;29673	29;30;31;32;33	11;14;141;184;194
P00363	P00363	26	26	26	Fumarate reductase flavoprotein subunit	frdA	sp|P00363|FRDA_ECOLI Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) OX=83333 GN=frdA PE=1 SV=3	1	26	26	26	65.9	65.9	65.9	65.971	602	602	0.0	204.75	286830000	70	23	73;150;1068;1644;1909;2215;2338;3892;4640;5101;5190;6767;6850;6902;7733;8129;8346;8710;9575;12524;14213;14490;14491;14913;14932;14963	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	83;167;1202;1203;1838;1839;2130;2452;2589;2590;2591;4279;5093;5593;5694;7410;7411;7412;7503;7563;8437;8855;9085;9488;10549;10550;13786;13787;15641;15942;15943;16395;16396;16417;16457;16458	135;258;259;1741;1742;1743;2635;2636;2637;2638;3025;3457;3617;3618;3619;3620;3621;3622;5877;6954;7613;7614;7615;7739;10127;10128;10129;10253;10338;11533;11534;12044;12045;12365;12366;12917;14467;14468;14469;14470;14471;18822;18823;21433;21840;21841;22438;22439;22440;22476;22530;22531;22532;22533	174;336;337;2287;2288;2289;2290;2291;2292;3492;3493;3494;3495;3496;3497;4006;4007;4008;4563;4564;4764;4765;4766;4767;4768;4769;4770;7749;9292;10149;10150;10151;10152;10304;13695;13696;13697;13859;13977;13978;15563;15564;16239;16240;16706;16707;17443;17444;17445;19509;19510;19511;19512;19513;25306;25307;25308;28919;28920;28921;29508;29509;30336;30337;30338;30339;30385;30386;30457;30458;30459;30460	174;337;2289;3494;4007;4564;4770;7749;9292;10151;10304;13695;13859;13977;15564;16239;16706;17444;19510;25308;28920;29508;29509;30336;30386;30460	34;35;36;37;38;39;40;41;42;43;44;45	1;136;191;214;216;227;244;269;283;359;456;460
P00370	P00370	15	15	15	NADP-specific glutamate dehydrogenase	gdhA	sp|P00370|DHE4_ECOLI NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=gdhA PE=1 SV=1	1	15	15	15	52.3	52.3	52.3	48.581	447	447	0.0	75.887	47060000	20	24	109;1449;3708;3878;4058;4123;5172;5814;9367;9695;11096;13716;14121;14230;14453	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	122;1627;4089;4265;4453;4523;5675;6376;10216;10217;10715;12239;15088;15541;15659;15905	189;190;2349;5619;5862;6101;6194;7715;8669;13912;13913;14735;16755;20663;21305;21454;21791	243;244;3090;7393;7730;8109;8110;8237;8238;10273;11586;11587;18778;18779;19892;22525;27874;27875;28758;28951;29436	243;3090;7393;7730;8109;8238;10273;11586;18778;19892;22525;27874;28758;28951;29436	46	1
P00393	P00393	12	12	12	NADH dehydrogenase	ndh	sp|P00393|DHNA_ECOLI NADH dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=ndh PE=1 SV=2	1	12	12	12	43.5	43.5	43.5	47.358	434	434	0.0	52.574	56191000	21	25	1926;2093;2389;3418;4707;5181;6584;6672;6954;9875;10337;13910	True;True;True;True;True;True;True;True;True;True;True;True	2148;2322;2655;3777;5165;5684;7210;7311;7617;10908;11419;15295;15296	3050;3051;3277;3711;5227;7045;7726;7727;9868;10011;10416;14999;15000;15001;15716;20956;20957;20958	4035;4036;4331;4894;4895;4896;4897;6905;9406;10290;10291;13340;13341;13342;13546;13547;14086;20235;20236;20237;21200;28297;28298;28299	4035;4331;4897;6905;9406;10291;13341;13546;14086;20236;21200;28299	47	248
P00448	P00448	8	8	8	Superoxide dismutase [Mn]	sodA	sp|P00448|SODM_ECOLI Superoxide dismutase [Mn] OS=Escherichia coli (strain K12) OX=83333 GN=sodA PE=1 SV=2	1	8	8	8	68.9	68.9	68.9	23.097	206	206	0.0	61.461	73719000	9	26	1964;1965;2933;4034;5780;7687;10032;12242	True;True;True;True;True;True;True;True	2188;2189;3244;4428;6338;8389;11091;13481	3096;3097;4498;6069;8615;8616;11474;15289;18411;18412	4087;4088;5938;8064;11489;11490;15494;20663;24729;24730	4087;4088;5938;8064;11489;15494;20663;24730		
P00452	P00452	29	29	29	Ribonucleoside-diphosphate reductase 1 subunit alpha	nrdA	sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=nrdA PE=1 SV=2	1	29	29	29	48.8	48.8	48.8	85.774	761	761	0.0	169.86	273540000	57	27	0;529;824;1481;1615;1835;2003;2228;2350;3497;4068;4424;4668;4844;5001;5002;5835;6806;7047;7113;7131;7584;10131;11689;12470;12790;13790;14074;14671	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	0;583;919;1663;1664;1806;2050;2228;2465;2613;3867;4464;4854;5122;5314;5483;5484;6398;7451;7452;7715;7784;7805;8280;11200;12879;13730;14069;15165;15491;16137	0;855;1332;1333;2407;2408;2409;2597;2598;2914;2915;3143;3473;3474;3654;3655;5351;6112;6623;6988;7249;7250;7466;7467;8701;10181;10182;10183;10541;10542;10543;10638;10639;10669;11333;15428;17600;17601;18739;19212;20768;21239;22112;22113	0;1137;1741;1742;3181;3182;3183;3445;3446;3447;3855;3856;4152;4585;4586;4587;4817;4818;7070;7071;8123;8124;8867;8868;9332;9665;9666;9667;9668;9936;9937;9938;11647;13771;13772;13773;14237;14238;14239;14240;14241;14367;14368;14401;15305;20822;23641;23642;23643;25178;25179;25180;25181;25848;25849;28022;28676;29906;29907;29908	0;1137;1741;3183;3446;3855;4152;4587;4817;7070;8124;8868;9332;9668;9937;9938;11647;13772;14240;14368;14401;15305;20822;23643;25179;25849;28022;28676;29908	48;49;50;51	212;333;403;711
P00490	P00490	29	29	29	Maltodextrin phosphorylase	malP	sp|P00490|PHSM_ECOLI Maltodextrin phosphorylase OS=Escherichia coli (strain K12) OX=83333 GN=malP PE=1 SV=7	1	29	29	29	52.7	52.7	52.7	90.521	797	797	0.0	189.31	155140000	49	28	1603;2245;3746;4057;4174;5838;5848;7486;8299;8589;9033;9264;9909;10500;10601;10635;10980;11938;12464;12536;13164;13468;13524;13775;13831;13938;14538;14777;15045	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1794;2483;4128;4452;4583;6402;6415;8178;9037;9354;9838;10085;10945;11596;11709;11744;12112;13153;13724;13799;14482;14816;14878;15149;15207;15326;15991;16251;16252;16548	2580;2581;3495;3496;5679;6100;6273;8711;8734;8735;11205;12296;12297;12743;13389;13390;13723;15059;15940;16078;16079;16121;16122;16582;17987;18732;18837;18838;19793;20240;20343;20746;20825;20998;21902;21903;22259;22260;22653	3420;3421;3422;4613;4614;4615;4616;7470;8107;8108;8354;11660;11691;11692;11693;15112;16604;16605;16606;16607;17217;18059;18060;18531;20330;21484;21655;21656;21708;21709;22300;24161;24162;25168;25325;25326;26673;27267;27268;27412;27985;28100;28367;29594;29595;30103;30104;30610;30611	3422;4613;7470;8108;8354;11660;11693;15112;16604;17217;18060;18531;20330;21484;21656;21709;22300;24162;25168;25325;26673;27268;27412;27985;28100;28367;29594;30104;30611	52	30
P00509	P00509	24	24	24	Aspartate aminotransferase	aspC	sp|P00509|AAT_ECOLI Aspartate aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=aspC PE=1 SV=1	1	24	24	24	61.9	61.9	61.9	43.573	396	396	0.0	109.61	227020000	49	29	363;781;1122;1938;1986;3291;5092;5598;6654;6655;6656;7079;9394;9797;10718;10805;11365;12164;12325;12894;13140;13500;14035;14477	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	403;871;872;1265;2160;2210;3626;5584;6141;7292;7293;7294;7748;10262;10828;11828;11923;12524;13397;13573;14191;14458;14853;15449;15929	587;1262;1263;1832;3064;3124;4996;7604;8335;8336;9987;9988;9989;9990;9991;10587;10588;10589;13980;13981;14888;16227;16338;17131;18298;18542;19369;19762;20312;21187;21819;21820	755;1642;1643;1644;2398;2399;4050;4124;4125;6594;6595;6596;10131;10132;10133;10134;10135;11076;11077;13514;13515;13516;13517;13518;13519;14309;14310;14311;18862;18863;20087;21860;21861;22005;22006;23015;24576;24577;24578;24922;24923;26046;26633;26634;27376;28614;29471;29472;29473	755;1644;2399;4050;4125;6595;10133;11077;13514;13516;13518;14309;18863;20087;21861;22006;23015;24576;24922;26046;26634;27376;28614;29471	53;54;55;56	1;314;380;385
P00550	P00550	16	16	16	PTS system mannitol-specific EIICBA component;Mannitol permease IIC component;Mannitol-specific phosphotransferase enzyme IIB component;Mannitol-specific phosphotransferase enzyme IIA component	mtlA	sp|P00550|PTM3C_ECOLI PTS system mannitol-specific EIICBA component OS=Escherichia coli (strain K12) OX=83333 GN=mtlA PE=1 SV=1	1	16	16	16	36.4	36.4	36.4	67.971	637	637	0.0	163.34	161240000	24	30	2468;2486;3996;4518;4921;6549;6733;7251;7577;7578;8017;9076;9175;10037;11009;13736	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2736;2756;4384;4962;5396;7171;7375;7930;8272;8273;8734;9885;9991;11096;12144;15108	3815;3842;6012;6779;6780;7348;9804;10085;10086;10851;11323;11324;11890;13450;13451;13595;15296;16627;20687;20688	5043;5072;7964;7965;9082;9083;9786;9787;13238;13642;13643;13644;14659;15292;15293;16025;18142;18143;18144;18350;18351;20672;22354;27905;27906	5043;5072;7965;9082;9787;13238;13642;14659;15292;15293;16025;18144;18350;20672;22354;27905		
