Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0A024RBG1;Q9NZJ9	A0A024RBG1;Q9NZJ9	1;1	1;1	1;1	Diphosphoinositol polyphosphate phosphohydrolase 2	NUDT4	sp|A0A024RBG1|NUD4B_HUMAN Diphosphoinositol polyphosphate phosphohydrolase NUDT4B OS=Homo sapiens OX=9606 GN=NUDT4B PE=3 SV=1;sp|Q9NZJ9|NUDT4_HUMAN Diphosphoinositol polyphosphate phosphohydrolase 2 OS=Homo sapiens OX=9606 GN=NUDT4 PE=1 SV=2	2	1	1	1	7.7	7.7	7.7	20.434	181	181;180	0.0020392	6.5215	0	1				0	8729	True	8840	10274	11930	11930		
A0A075B6X5	A0A075B6X5	1	1	1		TRAV18	sp|A0A075B6X5|TVA18_HUMAN T cell receptor alpha variable 18 OS=Homo sapiens OX=9606 GN=TRAV18 PE=3 SV=1	1	1	1	1	6.3	6.3	6.3	12.414	111	111	0.001268	6.8273	746580000	1				1	2790	True	2831	3282;3283	3800;3801	3800		
P0DPI2;A0A0B4J2D5	P0DPI2;A0A0B4J2D5	1;1	1;1	1;1			sp|P0DPI2|GAL3A_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3 PE=1 SV=1;sp|A0A0B4J2D5|GAL3B_HUMAN Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mit	2	1	1	1	9.3	9.3	9.3	28.17	268	268;268	0	12.286	12915000	2				2	5413	True	5487	6412	7509;7510	7509		
A0A0B4J2E5;Q15269	A0A0B4J2E5;Q15269	2;2	2;2	2;2	Periodic tryptophan protein 2 homolog	PWP2	tr|A0A0B4J2E5|A0A0B4J2E5_HUMAN Utp12 domain-containing protein OS=Homo sapiens OX=9606 GN=LOC102724159 PE=1 SV=1;sp|Q15269|PWP2_HUMAN Periodic tryptophan protein 2 homolog OS=Homo sapiens OX=9606 GN=PWP2 PE=1 SV=2	2	2	2	2	3.6	3.6	3.6	102.45	919	919;919	0	16.919	7959000	2				3	3796;10507	True;True	3846;10646	4451;12431	5173;14510	5173;14510		
A0A1B0GTU1;O75152	A0A1B0GTU1;O75152	1;1	1;1	1;1	Zinc finger CCCH domain-containing protein 11A	ZC3H11A	sp|A0A1B0GTU1|ZC11B_HUMAN Zinc finger CCCH domain-containing protein 11B OS=Homo sapiens OX=9606 GN=ZC3H11B PE=4 SV=1;sp|O75152|ZC11A_HUMAN Zinc finger CCCH domain-containing protein 11A OS=Homo sapiens OX=9606 GN=ZC3H11A PE=1 SV=3	2	1	1	1	1.9	1.9	1.9	88.936	805	805;810	0.0020153	6.4474	2307600	1				4	9826	True	9956	11649	13582	13582		
A0A2R8Y619	A0A2R8Y619	2	1	1			sp|A0A2R8Y619|H2BK1_HUMAN Histone H2B type 2-K1 OS=Homo sapiens OX=9606 GN=H2BK1 PE=3 SV=1	1	2	1	1	18	18	18	13.491	122	122	0.0020842	6.7069	38938000	1				5	6423;9939	False;True	6504;10070	7614;7615;11772	8903;8904;8905;13719	8903;13719		
A0AVT1	A0AVT1	10	10	10	Ubiquitin-like modifier-activating enzyme 6	UBA6	sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	1	10	10	10	15.7	15.7	15.7	117.97	1052	1052	0	64.013	69398000	10				6	604;1215;1785;2226;2501;4611;6016;6034;8777;10861	True;True;True;True;True;True;True;True;True;True	609;1230;1815;2259;2540;4672;6096;6114;8888;11004	699;1422;2098;2618;2947;5425;7139;7158;10327;12858	813;1636;2422;3028;3418;6329;8358;8379;11986;14995	813;1636;2422;3028;3418;6329;8358;8379;11986;14995		
A0FGR8	A0FGR8	5	5	5	Extended synaptotagmin-2	ESYT2	sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	1	5	5	5	9.7	9.7	9.7	102.36	921	921	0	39.548	60484000	5				7	135;175;2816;6322;9752	True;True;True;True;True	136;176;2857;6403;9880	157;204;3310;7502;11561	191;245;3832;8778;13485	191;245;3832;8778;13485		
A0MZ66	A0MZ66	6	6	6	Shootin-1	KIAA1598	sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	1	6	6	6	13.5	13.5	13.5	71.639	631	631	0	35.093	25320000	5				8	2603;5094;6994;8159;9055;10837	True;True;True;True;True;True	2643;5162;7079;8263;9172;10980	3078;6025;8255;9615;10665;12830	3576;7063;9627;11186;12381;14960	3576;7063;9627;11186;12381;14960	0	507
A1L0T0	A1L0T0	4	4	4	Acetolactate synthase-like protein	ILVBL	sp|A1L0T0|HACL2_HUMAN 2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	1	4	4	4	10.4	10.4	10.4	67.867	632	632	0	30.13	17208000	4				9	1381;2872;3672;6987	True;True;True;True	1403;2913;3722;7072	1623;3369;4317;8248	1873;3899;5023;9620	1873;3899;5023;9620		
