Protein IDs,Protein names,Gene names,Razor + unique peptides,Sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Intensity,Peptide IDs,Evidence IDs,Best MS/MS
Q9JKV1,Proteasomal ubiquitin receptor ADRM1,Adrm1;Gm9774,2,8.4,42.06,407,0.0,4.8795,822160.0,15453;15526,101329;101330;101331;101770;101771;101772;101773;101774;101775,122007
A0A0A6YXW6,,Igha,7,28.0,41.958,389,0.0,74.886,14886000.0,1639;1863;4402;12186;12223;12487;16866,11857;11858;11859;11860;11861;11862;13074;13075;13076;28868;28869;28870;28871;28872;80893;80894;80895;80896;80897;80898;80899;80900;80901;80902;81127;81128;81129;81130;81131;82796;82797;111971;111972,14508
Q000W5,,Gbp10,2,3.4,70.4,611,0.00041789,3.0057,194790.0,9213;10912,61537;61538;72636,74239
Q91VC3,"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed",Eif4a3;Gm8994,3,15.3,46.839,411,0.0,8.6511,6313200.0,3173;6323;6324;8859;9230;11477;15970,21585;21586;21587;21588;41390;41391;41392;41393;41394;59162;59163;59164;59165;61623;76579;76580;76581;76582;76583;105284;105285;105286,26133
A0A140LIS8,,,2,15.5,37.84,335,0.0,4.2951,7205700.0,4324;14852,28279;28280;28281;28282;97206,34270
A0A286YCV9,,,13,9.7,204.94,1847,0.0,21.678,5136500.0,335;3059;3211;3462;7415;7845;9416;10594;10687;12168;14657;17014;17049,2344;2345;20893;20894;20895;21771;23301;49104;49105;52001;62640;70511;70512;71074;71075;71076;80809;95783;112862;112863;113069,2778
Q91VM5,"RNA binding motif protein, X-linked-like-1;RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed",Rbmxl1;Rbmx,2,5.4,42.161,388,0.0,15.735,3988000.0,872;9467,6147;6148;62977;62978;62979;62980;62981,7462
A0JNU3,60 kDa lysophospholipase;L-asparaginase;Platelet-activating factor acetylhydrolase,Aspg,8,23.2,60.594,564,0.0,69.516,8447200.0,3058;3185;3315;5996;10700;10755;11817;13872,20892;21654;21655;22368;22369;22370;22371;38905;71149;71150;71151;71152;71153;71154;71155;71156;71157;71158;71159;71512;71513;71514;71515;78807;78808;78809;78810;78811;78812;78813;78814;90907,25300
A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2,3,2.5,202.24,1792,0.0,8.8458,2321100.0,2464;2694;9215,17212;17213;17214;17215;18584;18585;61541,20844
A2ADY9,Protein DDI1 homolog 2,Ddi2,9,37.6,44.59,399,0.0,47.719,16898000.0,844;2288;2782;3554;9505;12211;12410;15371;16574,5939;5940;5941;15694;15695;19249;19250;19251;23709;23710;23711;23712;23713;23714;63259;63260;63261;63262;63263;63264;63265;63266;63267;81050;81051;81052;81053;81054;81055;81056;81057;81058;81059;81060;81061;81062;81063;81064;81065;81066;81067;82295;82296;82297;82298;100767;100768;100769;100770;100771;100772;100773;100774;100775;109785;109786,7227
A2AJL3,FGGY carbohydrate kinase domain-containing protein,Fggy,11,29.9,60.336,552,0.0,55.13,42308000.0,587;3758;4129;4808;6404;6937;7801;9761;11387;14233;18134,4010;4011;4012;24953;27322;30962;41900;41901;41902;41903;41904;41905;41906;41907;41908;41909;41910;45666;45667;45668;45669;45670;45671;51732;51733;51734;51735;51736;51737;51738;51739;51740;51741;51742;51743;51744;51745;51746;64926;64927;64928;64929;64930;64931;75903;75904;75905;75906;75907;75908;93167;93168;93169;93170;93171;93172;93173;93174;120783;120784,4843
A2AKK5,Acyl-coenzyme A amino acid N-acyltransferase 1,Acnat1,3,10.8,46.07,416,0.0,18.573,4668500.0,8385;9749;17950,56003;56004;64829;64830;64831;64832;64833;64834;64835;64836;119481;119482;119483;119484;119485;119486;119487;119488;119489;119490,67718
A2AKQ0,,Slc35d1,2,7.9,39.272,355,0.0,5.3681,1110000.0,2109;10263,14487;14488;14489;14490;14491;68316;68317;68318;68319;68320;68321;68322,17583
A2AN08,E3 ubiquitin-protein ligase UBR4,Ubr4,8,2.4,572.28,5180,0.0,18.401,2862700.0,1224;3000;3532;8050;9405;12080;14178;16634,8927;20551;23627;23628;53506;53507;53508;53509;53510;53511;62550;80330;92903;110376,10793
A2AS89,"Agmatinase, mitochondrial",Agmat,7,34.4,38.255,358,0.0,52.166,30023000.0,3498;3713;10386;10387;14529;15700;17153,23463;23464;23465;23466;23467;23468;23469;24590;69074;69075;69076;69077;69078;69079;69080;69081;69082;69083;69084;69085;69086;69087;69088;69089;69090;69091;69092;69093;69094;69095;69096;69097;69098;69099;69100;69101;94968;94969;103163;103164;103165;103166;103167;103168;103169;103170;103171;103172;103173;103174;103175;103176;113918;113919;113920,28355
A2ASS6,Titin,Ttn,3,0.1,3906.4,35213,0.001548,2.148,925490.0,5865;7669;16356,38035;50793;108184,45975
