Protein IDs	Peptide counts (razor+unique)	Protein names	Gene names	Number of proteins	Razor + unique peptides	Unique sequence coverage [%]	Sequence lengths	Score	Intensity	MS/MS count	id	Best MS/MS
A0AVT1	1	Ubiquitin-like modifier-activating enzyme 6	UBA6	1	1	0.9	1052	5.6837	393040	1	0	5714
A0FGR8	2	Extended synaptotagmin-2	ESYT2	1	2	4.5	921	12.237	1819500	2	1	94
A0MZ66	1	Shootin-1	KIAA1598	1	1	1.6	631	6.7025	576320	1	2	2990
A5YKK6	1	CCR4-NOT transcription complex subunit 1	CNOT1	1	1	0.4	2376	7.696	417390	1	3	5150
A6NHQ2	1	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	FBLL1	1	1	3.3	334	5.7242	611980	1	4	5610
A6NHR9	2	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	1	2	1.1	2005	12.431	1227400	2	5	1034
P11488	1;1;1;1;1;1;1;1;1	Guanine nucleotide-binding protein G(t) subunit alpha-1;Guanine nucleotide-binding protein G(i) subunit alpha-1;Guanine nucleotide-binding protein G(t) subunit alpha-2;Guanine nucleotide-binding protein G(o) subunit alpha;Guanine nucleotide-binding protein G(k) subunit alpha;Guanine nucleotide-binding protein G(t) subunit alpha-3;Guanine nucleotide-binding protein G(i) subunit alpha-2;Guanine nucleotide-binding protein G(olf) subunit alpha;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	GNAT1;GNAI1;GNAT2;GNAO1;GNAI3;GNAT3;GNAI2;GNAL;GNAS	9	1	3.1	350;354;354;354;354;354;355;381;1037	7.1948	1342600	1	6	3754
P62308	1;1	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15	2	1	15.8	76;76	9.2387	4033400	3	7	2393
Q99613	6;6	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	2	6	6.8	913;914	38.171	5812500	6	8	726
E9PAV3	4;1	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	NACA	2	4	2.6	2078;213	30.153	19140000	5	18	834
G2XKQ0	1;1	Small ubiquitin-related modifier;Small ubiquitin-related modifier 1	SUMO1	2	1	11.9	101;101	6.8367	755850	1	19	6001
O00116	2	Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS	1	2	4.9	658	13.415	1523200	2	20	2151
O00151	7	PDZ and LIM domain protein 1	PDLIM1	1	7	27.1	329	45.565	7083000	7	21	787
O00154	1	Cytosolic acyl coenzyme A thioester hydrolase	ACOT7	1	1	2.9	380	6.0864	661820	1	22	546
O00159	8	Unconventional myosin-Ic	MYO1C	1	8	10.9	1063	49.898	7316800	8	23	692
O00203	1	AP-3 complex subunit beta-1	AP3B1	1	1	1.2	1094	7.2091	988350	1	24	518
O00231	9	26S proteasome non-ATPase regulatory subunit 11	PSMD11	1	9	26.3	422	54.718	8050000	8	25	347
O00232	3	26S proteasome non-ATPase regulatory subunit 12	PSMD12	1	3	7.5	456	21.014	2173000	3	26	991
O00244	1	Copper transport protein ATOX1	ATOX1	1	1	25.0	68	7.1546	846810	1	27	5815
O00264	3;1	Membrane-associated progesterone receptor component 1	PGRMC1	2	3	15.9	195;223	17.597	1696400	3	28	810
O00299	10	Chloride intracellular channel protein 1	CLIC1	1	10	66.8	241	73.115	23922000	13	29	1246
O00303	4	Eukaryotic translation initiation factor 3 subunit F	EIF3F	1	4	17.1	357	28.707	4897500	4	30	1185
O00410	14	Importin-5	IPO5	1	14	20.7	1097	89.907	13195000	14	31	235
O00469	7	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	PLOD2	1	7	11.3	737	45.918	4760300	7	32	68
O00487	2	26S proteasome non-ATPase regulatory subunit 14	PSMD14	1	2	6.5	310	14.101	1130100	2	33	563
O00505	2	Importin subunit alpha-4	KPNA3	1	2	2.5	521	12.23	1021900	1	34	1032
O00533	1	Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein	CHL1	1	1	0.6	1208	5.6682	1229400	1	35	1543
O00571	13;10;1	ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y	DDX3X;DDX3Y	3	13	25.4	662;660;724	87.974	16917000	13	36	917
O00764	3	Pyridoxal kinase	PDXK	1	3	11.9	312	21.475	1776000	3	37	2451
O14684	1	Prostaglandin E synthase	PTGES	1	1	6.6	152	5.9095	823640	1	38	153
O14737	4	Programmed cell death protein 5	PDCD5	1	4	35.2	125	27.848	4069800	4	39	81
O14744	3	Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed	PRMT5	1	3	7.8	637	19.886	1986400	3	40	2796
O14776	1	Transcription elongation regulator 1	TCERG1	1	1	1.0	1098	9.4906	988780	1	41	3666
O14818	8;3	Proteasome subunit alpha type-7	PSMA7	2	8	39.5	248;256	51.019	20788000	9	42	260
O14828	2	Secretory carrier-associated membrane protein 3	SCAMP3	1	2	9.2	347	13.695	1212700	2	43	492
P19105	5;5;2	Myosin regulatory light chain 12A;Myosin regulatory light chain 12B	MYL12A;MYL12B	3	5	35.7	171;172;172	38.265	13165000	6	44	1481
O14979	5	Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL	1	5	16.7	420	32.525	7071700	6	45	953
O14980	10	Exportin-1	XPO1	1	10	13.8	1071	72.109	13182000	11	46	593
