Protein IDs,Protein names,Gene names,Razor + unique peptides,Sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Intensity,Peptide IDs,Evidence IDs,Best MS/MS
A0A024RBG1,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B (DIPP-2B) (EC 3.6.1.52) (Nucleoside diphosphate-linked moiety X motif 4B) (Nudix motif 4B) (Nudix hydrolase 4B),NUDT4B,4,34.3,20.434,181,0.0,13.61,19517000.0,8256;23923;28967;31123,28868;28869;82453;82454;82455;100537;100538;108159,30008
P0DPI2,"Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial",GATD3 C21orf33 GATD3A,9,54.9,28.17,268,0.0,131.49,111870000.0,6070;8236;10332;11806;11807;14467;16243;21194;29990,21515;21516;21517;21518;21519;28815;36052;36053;36054;36055;36056;36057;41340;41341;41342;41343;41344;41345;41346;51186;51187;51188;51189;51190;51191;57147;73720;73721;73722;104257;104258;104259,22372
P0DQW0,Zinc finger CCCH domain-containing protein 11C,ZC3H11C,2,3.6,88.934,805,0.0,15.433,2863700.0,28377;29425,98228;102269,102779
A0AVT1,Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2),UBA6 MOP4 UBE1L2,14,18.6,117.97,1052,0.0,70.517,49004000.0,1711;4026;9604;12906;14246;15817;15887;17141;20792;27875;29957;30709;31386;31414,6026;14081;33469;45241;45242;50408;55802;55803;55804;56028;56029;56030;60028;72403;96287;96288;96289;104142;106674;109082;109163,6279
A0FGR8,Extended synaptotagmin-2 (E-Syt2) (Chr2Syt),ESYT2 FAM62B KIAA1228,2,3.8,102.36,921,0.0,8.8659,2892300.0,359;7407,1225;25997,1272
A0MZ66,Shootin-1 (Shootin1),SHTN1 KIAA1598,11,21.4,71.639,631,0.0,45.537,43485000.0,2589;7422;7611;9856;16281;19429;19549;24227;26575;28719;29620,9096;9097;9098;9099;26033;26619;26620;34327;57248;67600;68021;83540;91668;99672;99673;102857,9480
A1L0T0,2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein),ILVBL AHAS HACL2,11,32.6,67.867,632,0.0,97.159,93068000.0,207;3629;7250;7558;9757;19109;19532;20620;23298;28878;30229,669;12719;12720;25547;25548;26497;26498;26499;26500;26501;26502;33963;33964;66527;66528;66529;66530;66531;66532;66533;67960;71836;71837;71838;71839;80390;80391;100245;104989,690
A3KMH1,von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2),VWA8 KIAA0564,9,6.5,214.82,1905,0.0,25.664,20028000.0,3657;4302;5042;6793;8921;13290;22982;24430;30712,12812;15040;17717;17718;17719;24029;31136;46782;46783;46784;79575;84248;106681;106682,13320
A3KN83,Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3),SBNO1 MOP3,3,4.8,154.31,1393,0.0,10.728,3620200.0,14645;23873;26576,51919;82279;91669,54207
A4D1E9,GTP-binding protein 10 (Protein obg homolog 2) (ObgH2),GTPBP10 OBGH2 UG0751c10,2,5.9,42.932,387,0.0,6.6176,3185200.0,3487;17634,12248;61795;61796,12744
A5YKK6,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1),CNOT1 CDC39 KIAA1007 NOT1 AD-005,10,5.4,266.94,2376,0.0,27.436,22283000.0,3168;11435;12543;13738;16462;21037;21052;21069;21698;30962,11099;11100;11101;39957;39958;39959;44028;44029;44030;48647;57805;73208;73209;73210;73246;73304;75515;75516;107673,11562
A6NCS6,Uncharacterized protein C2orf72,C2orf72,5,31.2,30.48,295,0.0,44.968,33294000.0,129;358;982;21392;25114,393;394;1221;1222;1223;1224;3393;3394;3395;74417;74418;86428,408
