Protein IDs,Protein names,Gene names,Razor + unique peptides,Sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Intensity
A0A075B6H2,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",SVEP1,26,8.6,387.51,3548,0,132.67,654900000
A0A075B6I2,,IGLV6-57,5,44.6,16.037,148,0,134.51,5624600000
A0A075B788,Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase C,PTPRC,9,13.3,85.022,753,0,48.207,493520000
A0M8Q6,Ig lambda-7 chain C region,IGLC7,4,82.1,11.303,106,0,16.045,1115000000
A1L4H1,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SSC5D,19,20.9,165.74,1573,0,185.49,1406400000
A2AAZ0,"HLA class II histocompatibility antigen, DQ beta 1 chain",HLA-DQB1,3,13.4,25.961,224,0.0023838,1.8557,42540000
A2ACR1,Proteasome subunit beta type;Proteasome subunit beta type-9,PSMB9,3,20.4,20.96,196,0,3.5175,47211000
A2VDF0,Fucose mutarotase,FUOM,2,23.1,14.604,134,0,8.7004,12749000
A6NC48,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,BST1,12,42.3,37.482,333,0,267.54,7384600000
A6NCQ0,ADP-sugar pyrophosphatase,NUDT5,3,22.2,19.961,180,0,12.533,43123000
A6NCT7,Collagen alpha-1(XVI) chain,COL16A1,2,3.4,96.792,966,0.001816,2.0362,21675000
A6NF51,"3(2),5-bisphosphate nucleotidase 1",BPNT1,3,10,31.707,291,0,4.995,18306000
A6NI73,Leukocyte immunoglobulin-like receptor subfamily A member 5,LILRA5,2,8.3,27.852,253,0,2.7181,32325000
A6NJA2,Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 14,USP14,2,4,51.086,448,0.0052053,1.5897,26428000
A8MTF8,Protein FAM3B,FAM3B,2,6.6,28.282,258,0.0057438,1.4897,24921000
A8MYE6,Integrin beta;Integrin beta-2,ITGB2,3,3.8,78.345,712,0.0029744,1.842,36845000
A8MZH0,Leukocyte immunoglobulin-like receptor subfamily A member 2,LILRA2,7,26.9,49.982,454,0,131.02,1774900000
B0QYH4,Seizure 6-like protein,SEZ6L,6,11.5,79.64,720,0,31.974,194530000
B0YIW2,Apolipoprotein C-III,APOC3,2,23.1,12.815,117,0,50.212,828390000
B0YJC4,Vimentin,VIM,13,28.8,49.653,431,0,43.234,320300000
B1AH90,"Signal peptide, CUB and EGF-like domain-containing protein 1",SCUBE1,4,13.5,37.306,347,0,8.4135,92980000
B1AK87,F-actin-capping protein subunit beta,CAPZB,5,25,29.295,260,0,12.094,196420000
B1ALD9,Periostin,POSTN,2,48,90.142,808,0.0018237,2.1007,237220000
B1ALU1,Latrophilin-2,ADGRL2;LPHN2,6,6.6,155.55,1384,0,31.248,235360000
B1AMS2,Septin-6,6-Sep,3,9.3,49.303,431,0,11.092,39077000
B1AMW1,Lymphocyte function-associated antigen 3,CD58,5,15,27.018,240,0,11.241,735390000
B1AP13,Complement decay-accelerating factor,CD55,13,34.7,49.338,444,0,138.63,3096100000
B1B0D4,ADAMTS-like protein 2,ADAMTSL2,18,23.3,116.28,1060,0,216.4,7025500000
B3KVN2,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,FNTA,2,14,27.443,228,0,7.3392,10289000
B3KW70,Microfibrillar-associated protein 5,MFAP5,3,21.6,17.114,148,0,8.7366,249280000
B4DDF4,Calponin;Calponin-2,CNN2,3,12.1,32.616,298,0,5.3797,56436000
B4DGQ7,Receptor tyrosine-protein kinase erbB-3,ERBB3,5,7.1,101.76,921,0,9.9957,93261000
B4DHB2,"Myelin regulatory factor;Myelin regulatory factor, N-terminal;Myelin regulatory factor, C-terminal",MYRF,2,3,57.48,537,0,3.8769,87265000
B4DKB2,Endothelin-converting enzyme 1,ECE1,6,11.1,83.573,738,0,19.715,72576000
B4DNW0,Aminoacylase-1,ACY1;ABHD14A-ACY1,9,24.1,55.994,498,0,45.574,229870000
B4DQI4,Alpha/beta hydrolase domain-containing protein 14B,ABHD14B,2,14.4,19.756,188,0,2.9111,9727700
B4DV12,Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Polyubiquitin-B;Ubiquitin;Polyubiquitin-C;Ubiquitin,UBB;UBC;UBA52;RPS27A;UBBP4,6,77.1,17.215,153,0,95.805,1096600000
B4E0K5,Mitogen-activated protein kinase 14,MAPK14,4,19.8,32.357,283,0,13.57,23815000
