Protein IDs	Peptide counts (razor+unique)	Protein names	Gene names	Number of proteins	Razor + unique peptides	Unique sequence coverage [%]	Sequence lengths	Score	Intensity	MS/MS count	id	Best MS/MS
A5A607	2;2	Uncharacterized protein YlcI;Uncharacterized protein YnfO from qin prophage	ylcI;ynfO	2	2	46.9	64;77	6.0535	1897700	1	0	8465
P00350	36	6-phosphogluconate dehydrogenase, decarboxylating	gnd	1	36	80.3	468	323.31	964830000	83	22	324
P00363	26	Fumarate reductase flavoprotein subunit	frdA	1	26	65.9	602	204.75	286830000	70	23	174
P00370	15	NADP-specific glutamate dehydrogenase	gdhA	1	15	52.3	447	75.887	47060000	20	24	243
P00393	12	NADH dehydrogenase	ndh	1	12	43.5	434	52.574	56191000	21	25	4035
P00448	8	Superoxide dismutase [Mn]	sodA	1	8	68.9	206	61.461	73719000	9	26	4087
P00452	29	Ribonucleoside-diphosphate reductase 1 subunit alpha	nrdA	1	29	48.8	761	169.86	273540000	57	27	0
P00490	29	Maltodextrin phosphorylase	malP	1	29	52.7	797	189.31	155140000	49	28	3422
P00509	24	Aspartate aminotransferase	aspC	1	24	61.9	396	109.61	227020000	49	29	755
P00550	16	PTS system mannitol-specific EIICBA component;Mannitol permease IIC component;Mannitol-specific phosphotransferase enzyme IIB component;Mannitol-specific phosphotransferase enzyme IIA component	mtlA	1	16	36.4	637	163.34	161240000	24	30	5043
P00561	21	Bifunctional aspartokinase/homoserine dehydrogenase 1;Aspartokinase;Homoserine dehydrogenase	thrA	1	21	33.5	820	68.905	33029000	20	31	1936
P00562	10	Bifunctional aspartokinase/homoserine dehydrogenase 2;Aspartokinase;Homoserine dehydrogenase	metL	1	10	16.3	810	27.978	9743500	11	32	310
P00579	18	RNA polymerase sigma factor RpoD	rpoD	1	18	38.0	613	141.96	144800000	39	33	346
P00582	40	DNA polymerase I	polA	1	40	57.3	928	272.21	147570000	57	34	193
P00722	9	Beta-galactosidase	lacZ	1	9	10.7	1024	28.911	7420800	9	35	2433
P00803	5	Signal peptidase I	lepB	1	5	26.5	324	32.114	20395000	8	36	6717
P00805	16	L-asparaginase 2	ansB	1	16	69.8	348	142.86	164710000	30	37	2118
P00861	1	Diaminopimelate decarboxylase	lysA	1	1	4.3	420	4.4534	663420	1	38	21149
P00864	47	Phosphoenolpyruvate carboxylase	ppc	1	47	61.8	883	217.74	322220000	84	39	551
P00887	5	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	aroH	1	5	24.1	348	12.568	7881800	5	40	12231
P00895	3	Anthranilate synthase component 1	trpE	1	3	6.2	520	5.0715	1505400	3	41	1025
P00904	4	Bifunctional protein TrpGD;Anthranilate synthase component 2;Anthranilate phosphoribosyltransferase	trpGD	1	4	14.7	531	9.9728	2923400	4	42	15859
P00909	6	Tryptophan biosynthesis protein TrpCF;Indole-3-glycerol phosphate synthase;N-(5-phospho-ribosyl)anthranilate isomerase	trpC	1	6	16.6	453	13.683	3513800	5	43	4090
P00914	4	Deoxyribodipyrimidine photo-lyase	phrB	1	4	9.1	472	8.2319	1965400	4	44	4113
P00926	10	D-serine dehydratase	dsdA	1	10	37.1	442	61.207	14769000	8	45	311
P00934	5	Threonine synthase	thrC	1	5	22.0	428	18.153	6367700	5	46	96
