Protein IDs,Protein names,Gene names,Razor + unique peptides,Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Reporter intensity 1 1st,Reporter intensity 1 2nd,Reporter intensity 1 3rd,Reporter intensity 2 1st,Reporter intensity 2 2nd,Reporter intensity 2 3rd,Reporter intensity 3 1st,Reporter intensity 3 2nd,Reporter intensity 3 3rd,Intensity,id,Peptide IDs,Evidence IDs,Best MS/MS
A0A024R1R8,Translation machinery-associated protein 7 (Coiled-coil domain-containing protein 72),LOC112268293 hCG_2014768,2,15.6,7.0913,64,0.0,4.0342,202580.0,157930.0,170970.0,177260.0,131210.0,156110.0,123550.0,97243.0,122350.0,2227900000.0,0,8730;8731,42282;42283;42284;42285;42286;42287;42288;42289;42290;42291;42292;42293;42294;42295,43675
P0DPI2,"Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial",GATD3 C21orf33 GATD3A,7,44.4,28.17,268,0.0,108.48,100730.0,99876.0,87688.0,125050.0,99731.0,115360.0,91946.0,83797.0,87734.0,767290000.0,2,4589;7774;9375;9376;10948;18915;19067,21947;37643;37644;37645;37646;45441;45442;45443;45444;53374;53375;53376;53377;53378;53379;53380;53381;89797;89798;90503,22695
A0A590UK10,Rho guanine nucleotide exchange factor 18,ARHGEF18,2,3.8,121.99,1089,0.0,6.1945,8537.3,1273.0,0.0,10576.0,1469.0,0.0,7771.6,1165.3,0.0,20733000.0,3,10362;12125,50640;50641;58724,52316
A0AV96,RNA-binding protein 47 (RNA-binding motif protein 47),RBM47,2,8.9,64.098,593,0.0,5.4207,6950.4,0.0,0.0,8223.4,0.0,0.0,6727.4,0.0,0.0,7561900.0,5,3935;7819,18832;37850,19488
A0AVT1,Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2),UBA6 MOP4 UBE1L2,13,19.2,117.97,1052,0.0,78.631,114000.0,106840.0,110650.0,123370.0,113860.0,95207.0,96242.0,84145.0,96418.0,430210000.0,6,1191;2735;2999;4356;4923;6548;8556;10353;10829;11507;12092;13859;19539,5370;5371;5372;12960;14219;14220;20897;20898;20899;20900;20901;20902;20903;20904;20905;23473;23474;23475;23476;23477;31323;41377;50564;50565;50566;52838;52839;52840;55879;55880;58532;92631;92632,5549
A0FGR8,Extended synaptotagmin-2 (E-Syt2) (Chr2Syt),ESYT2 FAM62B KIAA1228,10,19.1,102.36,921,0.0,63.09,97479.0,116340.0,146920.0,102780.0,98594.0,148440.0,86465.0,87380.0,126970.0,1151500000.0,7,261;361;1610;5686;9520;11018;12086;16441;17063;18483,1163;1568;1569;7565;7566;7567;27166;27167;27168;46390;46391;46392;53722;53723;53724;53725;53726;53727;53728;53729;58496;78258;81199;81200;81201;87915;87916;87917;87918;87919;87920;87921;87922;87923,1187
A1L0T0,2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein),ILVBL AHAS HACL2,7,19.9,67.867,632,0.0,34.808,39135.0,81004.0,86344.0,38400.0,62737.0,71867.0,31602.0,52195.0,61327.0,345720000.0,8,164;2689;2979;5810;7187;10756;13560,685;686;687;688;689;12713;12714;14145;14146;27751;27752;34322;34323;34324;52475;52476;52477;65421;65422,701
A2RRP1,NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence),NBAS NAG,2,2.1,268.57,2371,0.0,8.6658,3916.9,4734.5,0.0,3848.5,5289.1,0.0,3955.6,4682.7,0.0,9986900.0,9,13414;14140,64677;64678;68344,67015
A2RUS2,DENN domain-containing protein 3,DENND3 KIAA0870,4,6.3,135.89,1198,0.0,20.137,14976.0,15629.0,23038.0,14316.0,15158.0,28683.0,12187.0,11383.0,20853.0,132690000.0,10,1370;10144;10663;16470,6258;6259;6260;6261;6262;6263;49535;52082;52083;52084;78383;78384;78385,6480
A3KN83,Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3),SBNO1 MOP3,5,7.4,154.31,1393,0.0,20.376,16534.0,37334.0,10781.0,13920.0,31558.0,9130.1,11147.0,27733.0,8059.2,68328000.0,11,9414;9744;11065;15838;16124,45686;47629;53923;53924;53925;53926;53927;75565;75566;75567;76918;76919;76920,47137
A4D1P6,WD repeat-containing protein 91,WDR91 HSPC049,4,8.4,83.343,747,0.0,35.524,48621.0,23662.0,2495.0,51943.0,25342.0,2239.2,34492.0,19245.0,1914.6,110340000.0,12,5885;11041;11463;16211,28047;53814;53815;53816;55676;55677;77306,28936
