Protein IDs,Protein names,Gene names,Razor + unique peptides,Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Reporter intensity 1,Reporter intensity 2,Reporter intensity 3,Reporter intensity 4,Reporter intensity 5,Reporter intensity 6,Intensity,id,Peptide IDs,Evidence IDs,Best MS/MS
A0A096MIV5,ATP-binding cassette subfamily F member 2,Abcf2,13,24.0,71.356,624,0.0,43.348,360130.0,329980.0,367820.0,337560.0,318360.0,451690.0,972370000.0,0,10456;12069;13460;20911;22339;23724;24498;26384;28064;39664;40646;44473;46304,55227;55228;55229;55230;55231;63135;63136;63137;63138;63139;63140;63141;63142;70797;110291;117259;117260;123134;123135;123136;123137;126997;126998;126999;127000;127001;136261;144445;144446;144447;202009;202010;202011;202012;207464;207465;227907;227908;237600;237601;237602,58417
A0A096MJ11,"Gasdermin D (Gasdermin domain containing 1 (Predicted), isoform CRA_a)",Gsdmd Gsdmdc1_predicted rCG_59487,10,19.9,53.212,488,0.0,34.747,371800.0,359490.0,367250.0,343460.0,378550.0,399180.0,811570000.0,1,2202;8748;12271;14993;18846;31035;33288;34841;37358;46040,11487;11488;46273;64391;64392;64393;64394;64395;64396;64397;64398;64399;64400;64401;78401;98882;160511;160512;160513;160514;160515;170849;170850;177513;189742;189743;236200;236201,12134
A0A096MJM8,LAS1-like (S. cerevisiae),Las1l,4,7.3,89.271,778,0.0,8.2562,22200.0,19850.0,20755.0,20549.0,21117.0,20266.0,3209199999.9999995,2,3932;11366;25246;25980,20617;59821;130688;130689;134344,21749
A0A096MJN4,Septin-4 (Apoptosis-related protein in the TGF-beta signaling pathway) (Arts) (Bradeion beta) (Brain protein H5) (CE5B3 beta) (Cell division control-related protein 2) (hCDCREL-2) (Peanut-like protein 2),Septin4 Arts Bh5 Gm11492 Pnut12 Sep4 Sept4,7,22.0,53.083,459,0.0,21.615,113660.0,104220.0,97665.0,104300.0,100590.0,112740.0,420150000.0,3,828;11667;11684;18025;21138;28589;37148;38620,4236;61078;61139;61140;61141;94714;94715;94716;94717;94718;111448;111449;111450;111451;147213;188698;188699;188700;188701;188702;188703;196716;196717,4495
A0A096MK60,Schlafen family member 5,Slfn5,3,5.1,101.13,884,0.0002791,7.7845,10300.0,8050.9,11463.0,7965.7,8274.3,11049.0,30380000.0,6,5896;25164;31276,30936;30937;130295;130296;130297;161708;161709,32689
A0A096MKE0,Aspartate-beta-hydroxylase,Asph,18,28.6,82.661,737,0.0,80.326,1152500.0,1164200.0,1128800.0,1082700.0,1080900.0,1329500.0,2339800000.0,7,1039;1825;3068;9588;11948;14200;15168;16171;16323;18087;19005;19420;25356;28299;29758;41823;44045;44637,5219;5220;5221;5222;5223;5224;9552;9553;16109;16110;16111;50770;62471;62472;74241;79248;79249;79250;84744;84745;85498;85499;85500;95022;95023;95024;99663;99664;99665;99666;102072;102073;102074;102075;102076;102077;102078;131227;131228;131229;131230;131231;131232;131233;131234;131235;131236;131237;131238;131239;145807;145808;145809;145810;145811;154161;154162;214055;214056;214057;225844;225845;225846;228642;228643;228644,5525
A0A096MKE2,PX domain-containing protein,Snx12,2,12.6,20.895,182,0.00024021,4.1467,75030.0,76435.0,80464.0,67363.0,75492.0,86887.0,111320000.0,8,15006;21690;39318,78461;78462;114359;114360;200382;200383,83119
A0A096MKE5,Zinc finger protein 326,Zfp326,4,8.8,65.213,581,0.0,12.312,117410.0,114980.0,136510.0,107020.0,108590.0,167160.0,231920000.0,9,8082;11822;33341;35549,42665;61756;61757;61758;171039;181029;181030;181031,45088
A0A096MKH4,"Ubiquitin-conjugating enzyme E2, J1",Ube2j1,6,22.3,34.964,318,0.0,23.043,181530.0,136660.0,160760.0,174050.0,135690.0,181530.0,499200000.0,10,1200;7857;15262;16816;35412;37721,6094;6095;6096;41444;41445;41446;79731;79732;79733;79734;79735;79736;88113;88114;88115;88116;88117;180365;180366;191768,6430
A0A0G2JSL0,Proteasome subunit beta,LOC100360846 rCG_63409,5,32.4,25.303,238,0.0,23.077,362890.0,373540.0,362820.0,353240.0,421950.0,449230.0,1578099999.9999998,12,5868;33685;35479;39978;43495,30799;30800;172645;172646;172647;172648;180645;203659;203660;203661;203662;203663;203664;222883;222884;222885;222886;222887;222888;222889;222890,32550
A0A0G2JSV3,ribose-phosphate diphosphokinase (EC 2.7.6.1),LOC314140,8,18.2,34.806,318,0.0,51.523,804910.0,807560.0,795990.0,747690.0,728090.0,885120.0,2152700000.0,13,14250;20773;25202;26692;29460;29707;40602;43420,74488;74489;74490;74491;74492;74493;74494;74495;74496;74497;109591;109592;109593;109594;109595;109596;109597;130467;130468;130469;130470;130471;137912;137913;137914;137915;137916;137917;137918;152458;152459;152460;153827;153828;153829;153830;153831;153832;207245;207246;207247;207248;207249;207250;222512;222513;222514;222515,78886
A0A0G2JTB2,"1,4-alpha-glucan branching enzyme (EC 2.4.1.18)",Gbe1,31,53.1,77.778,676,0.0,323.31,5261700.0,5212700.0,5008700.0,4941800.0,4299100.0,5476100.0,37394000000.0,14,252;327;4806;4872;9362;11161;12525;13745;13754;13929;16684;17096;17378;17867;21757;22237;22363;23790;23791;24521;24872;25713;26031;31056;32454;34349;35359;41709;44246;44630;45241,1254;1255;1256;1257;1258;1259;1260;1657;1658;1659;1660;1661;24951;24952;24953;24954;24955;24956;24957;24958;24959;24960;24961;24962;24963;25164;25165;25166;25167;25168;25169;25170;25171;49403;49404;49405;49406;49407;49408;58768;58769;58770;58771;58772;58773;58774;58775;58776;58777;58778;58779;58780;58781;58782;58783;58784;65874;65875;65876;65877;65878;65879;65880;65881;65882;65883;72114;72143;72144;72145;72146;72147;72148;72149;72150;73038;73039;73040;73041;73042;73043;73044;73045;73046;73047;87391;87392;87393;87394;89498;89499;89500;90903;90904;90905;90906;90907;90908;90909;90910;90911;90912;90913;93851;93852;114609;114610;114611;114612;116705;116706;117344;117345;117346;123406;123407;123408;123409;123410;123411;123412;123413;123414;123415;123416;123417;127086;127087;127088;127089;127090;127091;127092;127093;127094;127095;127096;127097;127098;127099;128798;128799;128800;133003;133004;133005;133006;133007;133008;133009;133010;133011;133012;134656;134657;134658;134659;134660;134661;134662;134663;134664;160586;160587;160588;160589;160590;160591;160592;160593;160594;160595;160596;160597;167225;167226;167227;167228;167229;167230;167231;167232;175281;175282;175283;175284;175285;175286;175287;180090;180091;180092;180093;213465;213466;213467;213468;213469;213470;213471;213472;213473;213474;213475;213476;213477;226784;226785;226786;226787;226788;226789;226790;226791;226792;226793;226794;226795;226796;226797;228607;228608;231993;231994;231995,1338
A0A0G2JTI5,Ral GEF with PH domain and SH3-binding motif 2,Ralgps2,2,3.3,68.428,610,0.00023849,4.0626,26212.0,27328.0,25558.0,25784.0,26312.0,29181.0,45977000.0,15,10071;35188,53422;53423;53424;179184,56484
A0A0G2JTI7,U4/U6 small nuclear ribonucleoprotein Prp3 (Pre-mRNA-splicing factor 3),Prpf3,5,9.3,74.842,659,0.0,11.419,140250.0,136760.0,158210.0,125590.0,155180.0,190860.0,186290000.0,16,97;7279;10420;12251;24805,430;431;38653;55036;55037;55038;64251;64252;64253;64254;64255;128504;128505;128506;128507;128508,460
