Protein IDs	Peptide counts (razor+unique)	Protein names	Gene names	Number of proteins	Razor + unique peptides	Unique sequence coverage [%]	Sequence lengths	Score	Intensity	MS/MS count	id	Best MS/MS
P00350	26	6-phosphogluconate dehydrogenase, decarboxylating	gnd	1	26	66.7	468	181.92	1164500000	52	15	251
P00363	26	Fumarate reductase flavoprotein subunit	frdA	1	26	63.3	602	223.09	446070000	51	16	257
P00370	14	NADP-specific glutamate dehydrogenase	gdhA	1	14	40.5	447	75.798	60785000	16	17	191
P00393	15	NADH dehydrogenase	ndh	1	15	54.1	434	69.304	91181000	17	18	3046
P00448	5	Superoxide dismutase [Mn]	sodA	1	5	30.6	206	29.587	40428000	7	19	3089
P00452	29	Ribonucleoside-diphosphate reductase 1 subunit alpha	nrdA	1	29	44.0	761	159.72	424840000	49	20	4
P00490	26	Maltodextrin phosphorylase	malP	1	26	41.3	797	100.38	237790000	38	21	3515
P00509	21	Aspartate aminotransferase	aspC	1	21	56.1	396	111.29	467860000	35	22	1243
P00550	16	PTS system mannitol-specific EIICBA component;Mannitol permease IIC component;Mannitol-specific phosphotransferase enzyme IIB component;Mannitol-specific phosphotransferase enzyme IIA component	mtlA	1	16	38.9	637	112.61	231520000	25	23	3830
P00561	12	Bifunctional aspartokinase/homoserine dehydrogenase 1;Aspartokinase;Homoserine dehydrogenase	thrA	1	12	19.3	820	51.426	43049000	13	24	1506
P00562	9	Bifunctional aspartokinase/homoserine dehydrogenase 2;Aspartokinase;Homoserine dehydrogenase	metL	1	9	14.6	810	15.633	10501000	8	25	237
P00579	10	RNA polymerase sigma factor RpoD	rpoD	1	10	21.2	613	45.962	115840000	15	26	260
P00582	27	DNA polymerase I	polA	1	27	41.3	928	108.27	141140000	30	27	939
P00722	5	Beta-galactosidase	lacZ	1	5	6.0	1024	12.537	9298700	5	28	4002
P00803	8	Signal peptidase I	lepB	1	8	33.0	324	14.956	25626000	8	29	2459
P00805	14	L-asparaginase 2	ansB	1	14	62.4	348	63.584	206940000	22	30	1641
P00864	39	Phosphoenolpyruvate carboxylase	ppc	1	39	49.7	883	156.69	523950000	70	31	417
P00887	4	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	aroH	1	4	16.4	348	7.503	13791000	4	32	7649
P00895	2	Anthranilate synthase component 1	trpE	1	2	4.0	520	4.1687	1986700	2	33	11548
P00909	3	Tryptophan biosynthesis protein TrpCF;Indole-3-glycerol phosphate synthase;N-(5-phospho-ribosyl)anthranilate isomerase	trpC	1	3	6.4	453	4.6481	7640300	3	34	1244
P00914	3	Deoxyribodipyrimidine photo-lyase	phrB	1	3	7.4	472	2.3166	3517000	2	35	986
P00926	4	D-serine dehydratase	dsdA	1	4	14.5	442	6.7242	10396000	4	36	5508
P00934	2	Threonine synthase	thrC	1	2	8.6	428	2.9985	3736300	2	37	409
P00936	3	Adenylate cyclase	cyaA	1	3	3.2	848	2.4604	3857400	3	38	5387
P00944	3	Xylose isomerase	xylA	1	3	12.0	440	3.5666	2878800	2	39	4634
P00946	2	Mannose-6-phosphate isomerase	manA	1	2	5.4	391	2.7037	1650500	2	40	5971
P00954	10	Tryptophan--tRNA ligase	trpS	1	10	37.7	334	49.438	96223000	15	41	2544
P00956	34	Isoleucine--tRNA ligase	ileS	1	34	53.7	938	157.99	446880000	53	42	1797
P00957	38	Alanine--tRNA ligase	alaS	1	38	55.6	876	225.43	582750000	62	43	785
P00959	29	Methionine--tRNA ligase	metG	1	29	52.3	677	112.93	210400000	41	44	1
P00960	7	Glycine--tRNA ligase alpha subunit	glyQ	1	7	37.6	303	55.248	151920000	14	45	133
P00961	44	Glycine--tRNA ligase beta subunit	glyS	1	44	67.3	689	237.24	639600000	85	46	2601
P00962	18	Glutamine--tRNA ligase	glnS	1	18	42.4	554	63.467	132460000	22	47	1672
P00963	4	Aspartate--ammonia ligase	asnA	1	4	17.3	330	9.3999	7134700	4	48	1551
P00968	10	Carbamoyl-phosphate synthase large chain	carB	1	10	12.1	1073	37.37	16807000	10	49	1344
P02358	4	30S ribosomal protein S6;30S ribosomal protein S6, fully modified isoform;30S ribosomal protein S6, non-modified isoform	rpsF	1	4	36.3	135	14.818	56644000	6	50	1034
P02359	16	30S ribosomal protein S7	rpsG	1	16	64.8	179	137.35	1803300000	57	51	6031
P02413	6	50S ribosomal protein L15	rplO	1	6	48.6	144	33.156	796830000	27	52	203
P02916	4	Maltose transport system permease protein MalF	malF	1	4	10.7	514	8.1526	6487500	4	53	1937
P02918	8	Penicillin-binding protein 1A;Penicillin-insensitive transglycosylase;Penicillin-sensitive transpeptidase	mrcA	1	8	14.2	850	12.524	14658000	7	54	255
P02919	10	Penicillin-binding protein 1B;Penicillin-insensitive transglycosylase;Penicillin-sensitive transpeptidase	mrcB	1	10	15.2	844	25.987	27101000	10	55	2482
P02924	6	L-arabinose-binding periplasmic protein	araF	1	6	24.0	329	11.538	12051000	7	56	25
P02925	14	D-ribose-binding periplasmic protein	rbsB	1	14	64.5	296	107.85	449120000	31	57	4121
P02930	16	Outer membrane protein TolC	tolC	1	16	52.1	493	126.8	192790000	30	58	2037
P02931	2	Outer membrane protein F	ompF	1	2	6.1	362	3.3996	1017200	2	59	2457
P02943	7	Maltoporin	lamB	1	7	21.3	446	27.822	13194000	8	60	2511
P03004	10	Chromosomal replication initiator protein DnaA	dnaA	1	10	33.0	467	34.615	22558000	11	61	1224
P03018	2	DNA helicase II	uvrD	1	2	3.3	720	4.6946	2152900	2	62	13085
P03023	2	Lactose operon repressor	lacI	1	2	6.7	360	3.7463	2461700	2	63	7885
P03813	3	Uncharacterized protein YgeA	ygeA	1	3	19.6	230	7.7975	3853100	3	64	2734
P03819	1	Glutathione-regulated potassium-efflux system protein KefC	kefC	1	1	2.3	620	3.4599	1034200	1	65	11400
