Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0FGR8	A0FGR8	3	3	3	Extended synaptotagmin-2	ESYT2	sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	1	3	3	3	5.3	5.3	5.3	102.36	921	921	0.0	18.311	1651300	3	0	79;4420;4936	True;True;True	79;4511;5036	87;4759;5322	91;5100;5723	91;5100;5723		
A0MZ66	A0MZ66	1	1	1	Shootin-1	KIAA1598	sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	1	1	1	1	1.6	1.6	1.6	71.639	631	631	0.00087413	6.2304	634790	1	1	2617	True	2659	2823	3040	3040		
A5YKK6	A5YKK6	1	1	1	CCR4-NOT transcription complex subunit 1	CNOT1	sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	1	1	1	1	0.4	0.4	0.4	266.94	2376	2376	0.0	6.7899	436080	1	2	4570	True	4663	4916	5264	5264		
Q9H492;Q9GZQ8;A6NCE7	Q9H492;Q9GZQ8;A6NCE7	1;1;1	1;1;1	1;1;1	Microtubule-associated proteins 1A/1B light chain 3A;Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2	MAP1LC3A;MAP1LC3B;MAP1LC3B2	sp|Q9H492|MLP3A_HUMAN Microtubule-associated proteins 1A/1B light chain 3A OS=Homo sapiens OX=9606 GN=MAP1LC3A PE=1 SV=2;sp|Q9GZQ8|MLP3B_HUMAN Microtubule-associated proteins 1A/1B light chain 3B OS=Homo sapiens OX=9606 GN=MAP1LC3B PE=1 SV=3;sp|A6NCE7|MP3B	3	1	1	1	5.8	5.8	5.8	14.272	121	121;125;125	0.0093458	5.668	560660	1	3	2714	True	2761	2929	3158	3158		
A6NHR9	A6NHR9	2	2	2	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	1	2	2	2	1.1	1.1	1.1	226.37	2005	2005	0.0	14.26	1342000	2	4	917;3315	True;True	935;3371	998;3570	1063;3851	1063;3851		
P11488;P63096;P19087;P09471;P08754;A8MTJ3;P04899;P38405;Q5JWF2	P11488;P63096;P19087;P09471;P08754;A8MTJ3;P04899;P38405;Q5JWF2	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	Guanine nucleotide-binding protein G(t) subunit alpha-1;Guanine nucleotide-binding protein G(i) subunit alpha-1;Guanine nucleotide-binding protein G(t) subunit alpha-2;Guanine nucleotide-binding protein G(o) subunit alpha;Guanine nucleotide-binding protein G(k) subunit alpha;Guanine nucleotide-binding protein G(t) subunit alpha-3;Guanine nucleotide-binding protein G(i) subunit alpha-2;Guanine nucleotide-binding protein G(olf) subunit alpha;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	GNAT1;GNAI1;GNAT2;GNAO1;GNAI3;GNAT3;GNAI2;GNAL;GNAS	sp|P11488|GNAT1_HUMAN Guanine nucleotide-binding protein G(t) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAT1 PE=1 SV=5;sp|P63096|GNAI1_HUMAN Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAI1 PE=1 SV=2;sp|P19087|GNAT	9	1	1	1	3.1	3.1	3.1	40.04	350	350;354;354;354;354;354;355;381;1037	0.0	6.7184	1206200	1	5	3319	True	3375	3575	3856	3856		
P62308;A8MWD9	P62308;A8MWD9	1;1	1;1	1;1	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15	sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1;sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens OX=9606 GN=SNRPGP15 PE=5 SV=2	2	1	1	1	15.8	15.8	15.8	8.496	76	76;76	0.0	11.389	3642200	5	6	2113	True	2147;2148	2268;2269	2427;2428;2429;2430;2431	2431	0	69
Q99613;B5ME19	Q99613;B5ME19	7;7	7;7	7;7	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1	2	7	7	7	8.0	8.0	8.0	105.34	913	913;914	0.0	44.789	6102400	7	7	603;649;702;1295;1827;4772;5580	True;True;True;True;True;True;True	611;658;713;1318;1859;4866;5691	649;697;757;1404;1961;5137;6002	692;742;807;1499;2090;5508;6466	692;742;807;1499;2090;5508;6466		
E9PAV3;Q9BZK3	E9PAV3	4;1	4;1	4;1	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	NACA	sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1	2	4	4	4	2.6	2.6	2.6	205.42	2078	2078;213	0.0	40.938	19267000	6	17	746;2496;3894;4607	True;True;True;True	758;759;2535;3975;4700	805;806;2683;4199;4956;4957	855;856;2888;4511;5311;5312	856;2888;4511;5312	2	2048
G2XKQ0;P63165	G2XKQ0;P63165	1;1	1;1	1;1	Small ubiquitin-related modifier;Small ubiquitin-related modifier 1	SUMO1	sp|G2XKQ0|SUMO5_HUMAN Small ubiquitin-related modifier 5 OS=Homo sapiens OX=9606 GN=SUMO1P1 PE=1 SV=2;sp|P63165|SUMO1_HUMAN Small ubiquitin-related modifier 1 OS=Homo sapiens OX=9606 GN=SUMO1 PE=1 SV=1	2	1	1	1	11.9	11.9	11.9	11.526	101	101;101	0.0	6.8177	829290	1	18	5282	True	5386	5688	6122	6122		
