Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P00350	P00350	26	26	26	6-phosphogluconate dehydrogenase, decarboxylating	gnd	sp|P00350|6PGD_ECOLI 6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) OX=83333 GN=gnd PE=1 SV=2	1	26	26	26	66.7	66.7	66.7	51.481	468	468	0.0	181.92	1164500000	52	15	118;140;375;376;2195;2316;2435;2436;2511;2786;2787;3813;4393;4663;4953;5070;5664;5778;5890;6059;7572;7925;8201;8751;8950;11429	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	128;151;400;401;2393;2525;2653;2654;2732;3021;3022;4131;4762;5047;5364;5485;6135;6259;6376;6553;8164;8640;8641;8943;9551;9761;12437	199;238;239;571;572;573;574;3200;3363;3521;3522;3523;3619;3988;3989;3990;5409;5410;6232;6587;7019;7185;8053;8054;8208;8362;8363;8364;8610;10664;11352;11353;11754;12519;12775;12776;16303;16304	251;252;304;305;306;719;720;721;722;723;4064;4277;4278;4279;4486;4487;4488;4489;4608;5082;5083;5084;6907;6908;6909;7959;8408;8409;8980;8981;9198;10322;10323;10522;10699;10700;10701;10702;10703;11009;13603;13604;14494;14495;14496;15031;15032;15995;15996;16303;16304;20931;20932;20933	251;305;720;722;4064;4278;4486;4489;4608;5082;5084;6907;7959;8409;8980;9198;10323;10522;10700;11009;13603;14494;15032;15995;16304;20933	25;26	11;184
P00363	P00363	26	26	26	Fumarate reductase flavoprotein subunit	frdA	sp|P00363|FRDA_ECOLI Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) OX=83333 GN=frdA PE=1 SV=3	1	26	26	26	63.3	63.3	63.3	65.971	602	602	0.0	223.09	446070000	51	16	122;903;1378;1577;1852;1947;1953;3223;3852;3881;4229;4299;5593;5667;6230;6403;6567;6715;6889;7168;7880;10295;11695;12276;12295;12316	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	132;1000;1516;1517;1734;2021;2117;2124;2125;2126;3491;4173;4203;4577;4655;6055;6056;6057;6138;6738;6920;7092;7246;7427;7735;8572;11212;12737;13354;13355;13377;13404;13405	203;204;1398;2085;2086;2087;2088;2371;2728;2839;2848;2849;2850;2851;4590;4591;5465;5500;5973;5974;6079;7948;7949;7950;7951;8057;8870;9086;9284;9466;9467;9702;9703;10124;11258;14640;16698;17470;17471;17472;17503;17504;17546;17547;17548;17549	256;257;1781;1782;2653;2654;2655;2656;3020;3466;3607;3619;3620;3621;3622;3623;5807;5808;6976;6977;7020;7611;7612;7742;10188;10189;10190;10191;10326;11317;11581;11825;12052;12053;12372;12373;12901;12902;14359;18676;21417;21418;22423;22424;22425;22469;22470;22471;22519;22520;22521;22522	257;1782;2656;3020;3466;3607;3623;5808;6976;7020;7612;7742;10190;10326;11317;11581;11825;12053;12373;12902;14359;18676;21417;22425;22471;22522	27;28;29;30;31;32;33;34;35;36	191;214;216;227;244;269;283;359;456;460
P00370	P00370	14	14	14	NADP-specific glutamate dehydrogenase	gdhA	sp|P00370|DHE4_ECOLI NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=gdhA PE=1 SV=1	1	14	14	14	40.5	40.5	40.5	48.581	447	447	0.0	75.798	60785000	16	17	91;3080;3215;3368;3425;4805;7364;7701;7982;8889;9145;11282;11612;11901	True;True;True;True;True;True;True;True;True;True;True;True;True;True	98;3343;3483;3643;3704;5200;7942;8313;8711;9699;9972;12278;12646;12959	149;4402;4403;4581;4774;4775;4848;6792;10376;10861;11462;12696;13040;16084;16589;16970	191;5573;5574;5797;6064;6065;6163;8677;13224;13850;14662;16211;16639;20641;21290;21789	191;5573;5797;6064;6163;8677;13224;13850;14662;16211;16639;20641;21290;21789		
P00393	P00393	15	15	15	NADH dehydrogenase	ndh	sp|P00393|DHNA_ECOLI NADH dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=ndh PE=1 SV=2	1	15	15	15	54.1	54.1	54.1	47.358	434	434	0.0	69.304	91181000	17	18	1591;1739;1790;1999;3369;3668;4293;5028;5437;5508;5755;8126;8520;10403;11440	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1748;1902;1955;2180;3644;3969;4648;5442;5888;5969;6235;8863;9302;11327;12448	2391;2581;2646;2930;4776;5186;6068;6069;7132;7728;7842;8179;11656;12222;14785;16316	3046;3279;3363;3728;3729;6066;6623;7731;7732;9136;9906;10062;10484;14891;15651;18870;20947	3046;3279;3363;3729;6066;6623;7731;9136;9906;10062;10484;14891;15651;18870;20947		
P00448	P00448	5	5	5	Superoxide dismutase [Mn]	sodA	sp|P00448|SODM_ECOLI Superoxide dismutase [Mn] OS=Escherichia coli (strain K12) OX=83333 GN=sodA PE=1 SV=2	1	5	5	5	30.6	30.6	30.6	23.097	206	206	0.0	29.587	40428000	7	19	1625;2440;3345;10044;10045	True;True;True;True;True	1784;2658;3620;10941;10942	2430;3527;4749;14294;14295;14296	3089;4493;4494;6034;18196;18197;18198	3089;4493;6034;18196;18198		
P00452	P00452	29	29	29	Ribonucleoside-diphosphate reductase 1 subunit alpha	nrdA	sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=nrdA PE=1 SV=2	1	29	29	29	44.0	44.0	44.0	85.774	761	761	0.0	159.72	424840000	49	20	3;431;688;1241;1353;1521;1657;1658;1865;1917;2905;3375;3679;4015;4146;4147;4821;5629;5878;6270;8333;8358;9604;10235;10520;10657;11338;11577;12090	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	3;462;749;1370;1371;1491;1673;1816;1817;2034;2087;3163;3651;3980;4347;4486;4487;5216;5217;6093;6362;6779;9098;9127;9128;10466;11151;11450;11605;12337;12608;12609;13160	3;667;1049;1050;1903;1904;2053;2054;2295;2468;2469;2744;2745;2806;4191;4784;5197;5679;5680;5856;5857;6819;6820;8000;8341;8918;11964;12000;12001;12002;13681;13682;14564;14941;15148;15149;16170;16540;16541;17235;17236	3;4;860;1329;1330;2437;2438;2619;2620;2918;3139;3140;3488;3489;3490;3567;5334;6074;6637;6638;7248;7249;7452;7453;7454;8710;8711;10251;10678;11384;15332;15371;15372;15373;17413;17414;17415;18562;18563;18564;19088;19089;19344;19345;20750;20751;21233;21234;22140;22141	4;860;1329;2438;2619;2918;3139;3140;3490;3567;5334;6074;6637;7249;7452;7453;8711;10251;10678;11384;15332;15372;17415;18563;19088;19344;20750;21233;22140	37;38;39;40	333;403;620;711
P00490	P00490	26	26	26	Maltodextrin phosphorylase	malP	sp|P00490|PHSM_ECOLI Maltodextrin phosphorylase OS=Escherichia coli (strain K12) OX=83333 GN=malP PE=1 SV=7	1	26	26	26	41.3	41.3	41.3	90.521	797	797	0.0	100.38	237790000	38	21	1881;3107;3367;3468;4679;4823;4835;6753;6846;7072;7427;7607;8160;8640;8700;8748;9055;9797;10231;10302;10835;11083;11123;11325;12177;12385	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2050;3371;3642;3753;5063;5220;5221;5236;7285;7383;7630;8013;8200;8899;9431;9497;9547;9873;10681;11147;11219;11797;12066;12110;12323;13251;13477	2765;4437;4772;4773;4913;6609;6827;6828;6849;6850;9516;9645;9981;9982;10478;10479;10709;10710;11703;12378;12455;12510;12511;12909;13971;14557;14649;14650;15415;15769;15842;15843;16151;17344;17636;17637	3514;3515;5614;5615;5616;6062;6063;6250;6251;8434;8719;8720;8746;8747;12114;12295;12728;12729;13361;13362;13665;13666;14962;15832;15922;15982;15983;16464;17791;18551;18687;18688;19765;20214;20319;20320;20723;22275;22626;22627	3515;5615;6062;6251;8434;8719;8747;12114;12295;12728;13362;13665;14962;15832;15922;15983;16464;17791;18551;18687;19765;20214;20319;20723;22275;22626	41	369
P00509	P00509	21	21	21	Aspartate aminotransferase	aspC	sp|P00509|AAT_ECOLI Aspartate aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=aspC PE=1 SV=1	1	21	21	21	56.1	56.1	56.1	43.573	396	396	0.0	111.29	467860000	35	22	648;941;1436;1603;1643;2735;4222;5492;5493;5853;7293;8054;8447;8825;8895;9983;10121;10605;10812;11106;11924	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	702;703;1041;1578;1760;1802;2968;4570;5953;5954;6335;7867;8789;9224;9627;9705;10875;11025;11547;11774;12093;12983	979;980;981;1451;2156;2403;2404;2453;3922;5966;7821;7822;7823;7824;8302;8303;10285;10286;11562;12125;12606;12702;14211;14414;15070;15384;15819;15820;16997;16998	1240;1241;1242;1243;1851;2735;3060;3061;3117;3118;4985;4986;7604;10039;10040;10041;10042;10633;10634;13109;13110;14775;14776;15520;15521;15522;16101;16219;18090;18366;19245;19724;20290;20291;21819;21820	1243;1851;2735;3060;3117;4985;7604;10039;10041;10633;13110;14775;15520;16101;16219;18090;18366;19245;19724;20290;21820	42	314
P00550	P00550	16	16	16	PTS system mannitol-specific EIICBA component;Mannitol permease IIC component;Mannitol-specific phosphotransferase enzyme IIB component;Mannitol-specific phosphotransferase enzyme IIA component	mtlA	sp|P00550|PTM3C_ECOLI PTS system mannitol-specific EIICBA component OS=Escherichia coli (strain K12) OX=83333 GN=mtlA PE=1 SV=1	1	16	16	16	38.9	38.9	38.9	67.971	637	637	0.0	112.61	231520000	25	23	2061;3181;3312;3754;4076;5409;5568;6266;6267;6629;7458;7542;8276;9077;10341;11294	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2244;3449;3582;4067;4412;5857;6030;6775;6776;7154;8047;8132;9038;9898;11261;12290	3011;4539;4699;5324;5325;5758;7684;7914;7915;8913;8914;8915;9356;10518;10626;11894;12940;14702;16100;16101;16102	3830;5746;5956;5957;6809;6810;7337;7338;9834;10147;10148;10149;11378;11379;11380;11916;13410;13551;15251;16512;16513;18747;20663;20664;20665	3830;5746;5956;6809;7338;9834;10147;11378;11380;11916;13410;13551;15251;16513;18747;20664		
P00561	P00561	12	12	12	Bifunctional aspartokinase/homoserine dehydrogenase 1;Aspartokinase;Homoserine dehydrogenase	thrA	sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) OX=83333 GN=thrA PE=1 SV=2	1	12	12	12	19.3	19.3	19.3	89.119	820	820	0.0	51.426	43049000	13	24	779;2876;3326;3908;4089;4636;4972;8366;8736;10271;10404;12458	True;True;True;True;True;True;True;True;True;True;True;True	850;3132;3597;4232;4426;5019;5383;9136;9534;11188;11328;13556	1189;4155;4721;5535;5778;5779;6546;7048;12011;12495;14614;14786;17733	1506;5291;5993;7064;7361;7362;8344;9022;15383;15966;18648;18871;22737	1506;5291;5993;7064;7362;8344;9022;15383;15966;18648;18871;22737		
