Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0A2R8Y4L2	A0A2R8Y4L2	5	1	1			sp|A0A2R8Y4L2|RA1L3_HUMAN Heterogeneous nuclear ribonucleoprotein A1-like 3 OS=Homo sapiens OX=9606 GN=HNRNPA1L3 PE=4 SV=1	1	5	1	1	35.6	16.4	16.4	29.173	275	275	0.009058	5.6472	1030700	2				0	775;1523;1553;1572;2082	False;False;False;True;False	791;1546;1577;1578;1598;2110;2111	893;1730;1731;1770;1771;1772;1773;1774;1775;1776;1777;1778;1779;1780;1781;1782;1783;1784;1805;1806;2405;2406	1423;1424;2722;2723;2724;2725;2726;2727;2792;2793;2794;2795;2796;2797;2798;2799;2800;2801;2802;2803;2804;2805;2806;2807;2808;2809;2810;2811;2812;2813;2814;2815;2816;2817;2818;2819;2820;2821;2822;2823;2824;2825;2826;2827;2828;2829;2830;2831;2856;2857;3844;3845;3846;3847;3848;3849;3850;3851	1423;2726;2803;2857;3847	0;1	27;92
A0A3B3IU46;Q9BTL3	A0A3B3IU46;Q9BTL3	1;1	1;1	1;1	RNMT-activating mini protein	FAM103A1	tr|A0A3B3IU46|A0A3B3IU46_HUMAN RNA guanine-7 methyltransferase-activating subunit-like (pseudogene) OS=Homo sapiens OX=9606 GN=RAMACL PE=4 SV=1;sp|Q9BTL3|RAMAC_HUMAN RNA guanine-N7 methyltransferase activating subunit OS=Homo sapiens OX=9606 GN=RAMAC PE=1 	2	1	1	1	19.5	19.5	19.5	14.367	118	118;118	0.0088339	5.5463	385350	1				1	3611	True	3659	4156	6544	6544		
A0AVI2	A0AVI2	1	1	1	Fer-1-like protein 5	FER1L5	sp|A0AVI2|FR1L5_HUMAN Fer-1-like protein 5 OS=Homo sapiens OX=9606 GN=FER1L5 PE=2 SV=3	1	1	1	1	0.5	0.5	0.5	237.93	2057	2057	0.0088106	5.5398	58346	0				2	705	True	718	813	1303	1303	2	1604
A0AVT1	A0AVT1	1	1	1	Ubiquitin-like modifier-activating enzyme 6	UBA6	sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	1	1	1	1	1.3	1.3	1.3	117.97	1052	1052	0.0012531	9.4484	173480	1				3	1421	True	1443	1622	2566	2566		
A0FGR8	A0FGR8	2	2	2	Extended synaptotagmin-2	ESYT2	sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	1	2	2	2	3.4	3.4	3.4	102.36	921	921	0	13.52	1073400	3				4	2721;4259	True;True	2758;4311	3143;4944	4991;7829;7830	4991;7829		
A6NHR9	A6NHR9	2	2	2	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	1	2	2	2	0.9	0.9	0.9	226.37	2005	2005	0	12.627	435980	3				5	2770;5114	True;True	2807;5175	3198;5925	5064;5065;9468	5065;9468		
P62308;A8MWD9	P62308;A8MWD9	1;1	1;1	1;1	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15	sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1;sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens OX=9606 GN=SNRPGP15 PE=5 SV=2	2	1	1	1	15.8	15.8	15.8	8.496	76	76;76	0	11.584	1807500	2				6	1698	True	1724	1962	3109;3110	3109		
Q99613;B5ME19	Q99613;B5ME19	4;4	4;4	4;4	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1	2	4	4	4	5.4	5.4	5.4	105.34	913	913;914	0	27.847	1154000	5				7	985;1470;1767;2166	True;True;True;True	1003;1492;1794;2196	1140;1674;2037;2502	1824;1825;2643;3221;4009	1825;2643;3221;4009		
CON__P00761	CON__P00761	4	4	4				1	4	4	4	25.1	25.1	25.1	24.409	231	231	0	28.623	9272900	7			+	8	2151;2634;2955;4410	True;True;True;True	2181;2669;2995;4462	2484;3043;3406;5110	3984;3985;4838;4839;5375;8092;8093	3984;4838;5375;8093		
CON__P02769;CON__P02768-1;P02768	CON__P02769	10;1;1	10;1;1	10;1;1				3	10	10	10	20.1	20.1	20.1	69.293	607	607;609;609	0	75.301	6092000	13			+	9	488;1125;1943;1960;2623;3028;3209;4348;4980;5032	True;True;True;True;True;True;True;True;True;True	498;1143;1971;1988;2658;3068;3251;4400;5039;5091	572;1286;2246;2264;3030;3491;3687;3688;5039;5771;5826	926;927;928;2033;3587;3620;4819;5520;5802;5803;7983;9221;9309	927;2033;3587;3620;4819;5520;5802;7983;9221;9309		
